TimeStamp_C,,,,,Value_N,Value_45,Value_60,Value_30
00:27.2,,,,,7.99498,8.68619,9.0318,8.49788
00:27.3,,,,,7.92586,8.68619,9.147,8.54396
00:27.4,,,,,7.90282,8.64011,9.07788,8.47484
00:27.5,,,,,7.90282,8.66315,9.07788,8.54396
00:27.6,,,,,7.9489,8.66315,9.07788,8.54396
00:27.7,,,,,7.87978,8.70923,9.07788,8.52092
00:27.8,,,,,7.90282,8.61707,9.0318,8.52092
00:27.9,,,,,7.9489,8.61707,9.07788,8.49788
00:28.0,,,,,7.9489,8.64011,9.05484,8.49788
00:28.1,,,,,7.92586,8.59403,9.12396,8.49788
00:28.2,,,,,7.92586,8.68619,9.10092,8.52092
00:28.3,,,,,7.9489,8.61707,9.10092,8.4518
00:28.4,,,,,7.87978,8.70923,9.00876,8.52092
00:28.5,,,,,7.85674,8.64011,9.0318,8.52092
00:28.6,,,,,7.90282,8.61707,9.00876,8.49788
00:28.7,,,,,7.9489,8.68619,9.0318,8.52092
00:28.8,,,,,7.92586,8.64011,9.07788,8.52092
00:28.9,,,,,7.97194,8.64011,8.98572,8.52092
00:29.0,,,,,7.9489,8.68619,9.0318,8.54396
00:29.1,,,,,7.9489,8.64011,9.00876,8.52092
00:29.2,,,,,7.92586,8.61707,9.12396,8.54396
00:29.3,,,,,7.90282,8.64011,9.0318,8.47484
00:29.4,,,,,7.9489,8.61707,9.0318,8.54396
00:29.5,,,,,7.9489,8.66315,9.07788,8.54396
00:29.6,,,,,7.92586,8.64011,9.05484,8.49788
00:29.7,,,,,7.9489,8.59403,9.0318,8.52092
00:29.8,,,,,7.87978,8.61707,9.05484,8.52092
00:29.9,,,,,7.97194,8.61707,9.0318,8.47484
00:30.0,,,,,7.90282,8.59403,9.12396,8.52092
00:30.1,,,,,7.90282,8.64011,9.00876,8.49788
00:30.2,,,,,7.92586,8.66315,9.07788,8.54396
00:30.3,,,,,7.97194,8.70923,9.10092,8.49788
00:30.4,,,,,7.99498,8.64011,9.07788,8.47484
00:30.5,,,,,7.9489,8.66315,9.05484,8.567
00:30.6,,,,,7.9489,8.66315,9.05484,8.47484
00:30.7,,,,,7.97194,8.64011,9.10092,8.47484
00:30.8,,,,,7.92586,8.70923,9.10092,8.52092
00:30.9,,,,,7.9489,8.66315,9.0318,8.49788
00:31.0,,,,,7.97194,8.70923,9.07788,8.54396
00:31.1,,,,,7.99498,8.66315,9.05484,8.4518
00:31.2,,,,,7.92586,8.64011,9.0318,8.567
00:31.3,,,,,7.9489,8.66315,9.0318,8.49788
00:31.4,,,,,7.9489,8.70923,9.05484,8.54396
00:31.5,,,,,7.92586,8.68619,9.07788,8.61308
00:31.6,,,,,7.99498,8.66315,9.0318,8.54396
00:31.7,,,,,7.97194,8.66315,9.12396,8.52092
00:31.8,,,,,7.99498,8.66315,9.07788,8.567
00:31.9,,,,,7.90282,8.68619,9.00876,8.47484
00:32.0,,,,,7.9489,8.64011,9.05484,8.52092
00:32.1,,,,,7.97194,8.64011,9.05484,8.52092
00:32.2,,,,,7.87978,8.64011,9.00876,8.4518
00:32.3,,,,,7.9489,8.66315,9.10092,8.49788
00:32.4,,,,,7.90282,8.66315,9.0318,8.52092
00:32.5,,,,,7.9489,8.64011,9.10092,8.49788
00:32.6,,,,,7.8337,8.64011,9.05484,8.49788
00:32.7,,,,,7.9489,8.68619,9.0318,8.47484
00:32.8,,,,,7.90282,8.66315,9.00876,8.52092
00:32.9,,,,,7.90282,8.66315,9.05484,8.52092
00:33.0,,,,,7.92586,8.68619,9.05484,8.49788
00:33.1,,,,,7.9489,8.64011,8.98572,8.59004
00:33.2,,,,,7.9489,8.66315,9.0318,8.52092
00:33.3,,,,,7.92586,8.66315,9.00876,8.49788
00:33.4,,,,,7.92586,8.66315,9.05484,8.54396
00:33.5,,,,,7.9489,8.73227,9.05484,8.49788
00:33.6,,,,,7.92586,8.64011,9.12396,8.52092
00:33.7,,,,,7.90282,8.70923,8.98572,8.47484
00:33.8,,,,,7.97194,8.61707,9.07788,8.54396
00:33.9,,,,,7.92586,8.68619,8.98572,8.4518
00:34.0,,,,,7.97194,8.64011,9.05484,8.49788
00:34.1,,,,,7.92586,8.66315,9.00876,8.49788
00:34.2,,,,,7.99498,8.68619,9.07788,8.52092
00:34.3,,,,,7.97194,8.66315,9.07788,8.49788
00:34.4,,,,,7.90282,8.70923,9.0318,8.52092
00:34.5,,,,,7.99498,8.77835,9.0318,8.54396
00:34.6,,,,,7.9489,8.66315,9.00876,8.4518
00:34.7,,,,,7.9489,8.68619,9.10092,8.49788
00:34.8,,,,,7.9489,8.68619,9.00876,8.54396
00:34.9,,,,,8.01802,8.66315,9.05484,8.4518
