TimeStamp_n,,Specification,Unit,Value_mA,Value_A,,TimeStamp_N
21:14.8,->,current ,ma,7902.82,7.90282,,01:30.200
21:14.9,->,current ,ma,7879.78,7.87978,,01:30.300
21:15.0,->,current ,ma,7833.7,7.8337,,01:30.400
21:15.2,->,current ,ma,7879.78,7.87978,,01:30.500
21:15.3,->,current ,ma,7856.74,7.85674,,01:30.600
21:15.4,->,current ,ma,7833.7,7.8337,,01:30.700
21:15.5,->,current ,ma,7833.7,7.8337,,01:30.800
21:15.6,->,current ,ma,7856.74,7.85674,,01:30.900
21:15.8,->,current ,ma,7948.9,7.9489,,01:31.000
21:15.9,->,current ,ma,7902.82,7.90282,,01:31.100
21:16.0,->,current ,ma,7810.66,7.81066,,01:31.200
21:16.1,->,current ,ma,7833.7,7.8337,,01:31.300
21:16.2,->,current ,ma,7879.78,7.87978,,01:31.400
21:16.4,->,current ,ma,7902.82,7.90282,,01:31.500
21:16.5,->,current ,ma,7902.82,7.90282,,01:31.600
21:16.6,->,current ,ma,7925.86,7.92586,,01:31.700
21:16.7,->,current ,ma,7833.7,7.8337,,01:31.800
21:16.8,->,current ,ma,7833.7,7.8337,,01:31.900
21:17.0,->,current ,ma,7833.7,7.8337,,01:32.000
21:17.1,->,current ,ma,7925.86,7.92586,,01:32.100
21:17.2,->,current ,ma,7879.78,7.87978,,01:32.200
21:17.3,->,current ,ma,7879.78,7.87978,,01:32.300
21:17.5,->,current ,ma,7879.78,7.87978,,01:32.400
21:17.6,->,current ,ma,7879.78,7.87978,,01:32.500
21:17.7,->,current ,ma,7856.74,7.85674,,01:32.600
21:17.8,->,current ,ma,7810.66,7.81066,,01:32.700
21:17.9,->,current ,ma,7879.78,7.87978,,01:32.800
21:18.1,->,current ,ma,7810.66,7.81066,,01:32.900
21:18.2,->,current ,ma,7833.7,7.8337,,01:33.000
21:18.3,->,current ,ma,7879.78,7.87978,,01:33.100
21:18.4,->,current ,ma,7833.7,7.8337,,01:33.200
21:18.5,->,current ,ma,7856.74,7.85674,,01:33.300
21:18.7,->,current ,ma,7925.86,7.92586,,01:33.400
21:18.8,->,current ,ma,7856.74,7.85674,,01:33.500
21:18.9,->,current ,ma,7833.7,7.8337,,01:33.600
21:19.0,->,current ,ma,7902.82,7.90282,,01:33.700
21:19.1,->,current ,ma,7902.82,7.90282,,01:33.800
21:19.3,->,current ,ma,7833.7,7.8337,,01:33.900
21:19.4,->,current ,ma,7879.78,7.87978,,01:34.000
21:19.5,->,current ,ma,7833.7,7.8337,,01:34.100
21:19.6,->,current ,ma,7879.78,7.87978,,01:34.200
21:19.8,->,current ,ma,7833.7,7.8337,,01:34.300
21:19.9,->,current ,ma,7879.78,7.87978,,01:34.400
21:20.0,->,current ,ma,7856.74,7.85674,,01:34.500
21:20.1,->,current ,ma,7879.78,7.87978,,01:34.600
21:20.2,->,current ,ma,7810.66,7.81066,,01:34.700
21:20.4,->,current ,ma,7856.74,7.85674,,01:34.800
21:20.5,->,current ,ma,7833.7,7.8337,,01:34.900
21:20.6,->,current ,ma,7856.74,7.85674,,01:35.000
21:20.7,->,current ,ma,7810.66,7.81066,,01:35.100
21:20.8,->,current ,ma,7810.66,7.81066,,01:35.200
21:21.0,->,current ,ma,7810.66,7.81066,,01:35.300
21:21.1,->,current ,ma,7833.7,7.8337,,01:35.400
21:21.2,->,current ,ma,7856.74,7.85674,,01:35.500
21:21.3,->,current ,ma,7856.74,7.85674,,01:35.600
21:21.4,->,current ,ma,7879.78,7.87978,,01:35.700
21:21.6,->,current ,ma,7810.66,7.81066,,01:35.800
21:21.7,->,current ,ma,7925.86,7.92586,,01:35.900
21:21.8,->,current ,ma,7856.74,7.85674,,01:36.000
21:21.9,->,current ,ma,7856.74,7.85674,,01:36.100
21:22.1,->,current ,ma,7902.82,7.90282,,01:36.200
21:22.2,->,current ,ma,7948.9,7.9489,,01:36.300
21:22.3,->,current ,ma,7879.78,7.87978,,01:36.400
21:22.4,->,current ,ma,7925.86,7.92586,,01:36.500
21:22.5,->,current ,ma,7925.86,7.92586,,01:36.600
21:22.7,->,current ,ma,7925.86,7.92586,,01:36.700
21:22.8,->,current ,ma,7833.7,7.8337,,01:36.800
21:22.9,->,current ,ma,7879.78,7.87978,,01:36.900
21:23.0,->,current ,ma,7879.78,7.87978,,01:37.000
21:23.2,->,current ,ma,7810.66,7.81066,,01:37.100
21:23.3,->,current ,ma,7856.74,7.85674,,01:37.200
21:23.4,->,current ,ma,7902.82,7.90282,,01:37.300
21:23.5,->,current ,ma,7879.78,7.87978,,01:37.400
21:23.6,->,current ,ma,7856.74,7.85674,,01:37.500
21:23.7,->,current ,ma,7856.74,7.85674,,01:37.600
21:23.9,->,current ,ma,7879.78,7.87978,,01:37.700
21:24.0,->,current ,ma,7810.66,7.81066,,01:37.800
21:24.1,->,current ,ma,7902.82,7.90282,,01:37.900
21:24.2,->,current ,ma,7902.82,7.90282,,01:38.000
21:24.3,->,current ,ma,7856.74,7.85674,,01:38.100
21:24.5,->,current ,ma,7879.78,7.87978,,01:38.200
21:24.6,->,current ,ma,7902.82,7.90282,,01:38.300
21:24.7,->,current ,ma,7833.7,7.8337,,01:38.400
21:24.9,->,current ,ma,7902.82,7.90282,,01:38.500
21:25.0,->,current ,ma,7856.74,7.85674,,01:38.600
21:25.1,->,current ,ma,7902.82,7.90282,,01:38.700
21:25.2,->,current ,ma,7856.74,7.85674,,01:38.800
21:25.3,->,current ,ma,7856.74,7.85674,,01:38.900
21:25.4,->,current ,ma,7856.74,7.85674,,01:39.000
21:25.6,->,current ,ma,7948.9,7.9489,,01:39.100
21:25.7,->,current ,ma,7833.7,7.8337,,01:39.200
21:25.8,->,current ,ma,7856.74,7.85674,,01:39.300
21:25.9,->,current ,ma,7902.82,7.90282,,01:39.400
21:26.1,->,current ,ma,7787.62,7.78762,,01:39.500
21:26.2,->,current ,ma,7856.74,7.85674,,01:39.600
21:26.3,->,current ,ma,7856.74,7.85674,,01:39.700
21:26.4,->,current ,ma,7810.66,7.81066,,01:39.800
21:26.6,->,current ,ma,7879.78,7.87978,,01:39.900
21:26.6,->,current ,ma,7879.78,7.87978,,01:40.000
21:26.8,->,current ,ma,7902.82,7.90282,,01:40.100
21:26.9,->,current ,ma,7856.74,7.85674,,01:40.200
21:27.0,->,current ,ma,7856.74,7.85674,,01:40.300
21:27.2,->,current ,ma,7856.74,7.85674,,01:40.400
21:27.2,->,current ,ma,7833.7,7.8337,,01:40.500
21:27.4,->,current ,ma,7879.78,7.87978,,01:40.600
21:27.5,->,current ,ma,7879.78,7.87978,,01:40.700
21:27.6,->,current ,ma,7833.7,7.8337,,01:40.800
21:27.8,->,current ,ma,7879.78,7.87978,,01:40.900
21:27.8,->,current ,ma,7879.78,7.87978,,01:41.000
21:28.0,->,current ,ma,7902.82,7.90282,,01:41.100
21:28.1,->,current ,ma,7902.82,7.90282,,01:41.200
21:28.2,->,current ,ma,7902.82,7.90282,,01:41.300
21:28.4,->,current ,ma,7925.86,7.92586,,01:41.400
21:28.5,->,current ,ma,7925.86,7.92586,,01:41.500
21:28.6,->,current ,ma,7902.82,7.90282,,01:41.600
21:28.7,->,current ,ma,7856.74,7.85674,,01:41.700
21:28.9,->,current ,ma,7879.78,7.87978,,01:41.800
21:29.0,->,current ,ma,7856.74,7.85674,,01:41.900
21:29.1,->,current ,ma,7833.7,7.8337,,01:42.000
21:29.2,->,current ,ma,7879.78,7.87978,,01:42.100
21:29.3,->,current ,ma,7902.82,7.90282,,01:42.200
21:29.5,->,current ,ma,7856.74,7.85674,,01:42.300
21:29.6,->,current ,ma,7879.78,7.87978,,01:42.400
21:29.7,->,current ,ma,7856.74,7.85674,,01:42.500
21:29.8,->,current ,ma,288.26,0.28826,,01:42.600
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,01:44.000
