TimeStamp_n,,Specification,Unit,Value_mA,Value_A,,TimeStamp_N
19:50.7,->,current ,ma,7925.86,7.92586,,00:20.800
19:50.8,->,current ,ma,7994.98,7.99498,,00:20.900
19:50.9,->,current ,ma,7948.9,7.9489,,00:21.000
19:51.0,->,current ,ma,7948.9,7.9489,,00:21.100
19:51.2,->,current ,ma,7971.94,7.97194,,00:21.200
19:51.3,->,current ,ma,7994.98,7.99498,,00:21.300
19:51.4,->,current ,ma,7948.9,7.9489,,00:21.400
19:51.6,->,current ,ma,7948.9,7.9489,,00:21.500
19:51.7,->,current ,ma,7971.94,7.97194,,00:21.600
19:51.8,->,current ,ma,7948.9,7.9489,,00:21.700
19:51.9,->,current ,ma,7971.94,7.97194,,00:21.800
19:52.0,->,current ,ma,7925.86,7.92586,,00:21.900
19:52.1,->,current ,ma,8018.02,8.01802,,00:22.000
19:52.3,->,current ,ma,7971.94,7.97194,,00:22.100
19:52.4,->,current ,ma,7902.82,7.90282,,00:22.200
19:52.5,->,current ,ma,7971.94,7.97194,,00:22.300
19:52.6,->,current ,ma,7994.98,7.99498,,00:22.400
19:52.8,->,current ,ma,7948.9,7.9489,,00:22.500
19:52.9,->,current ,ma,7971.94,7.97194,,00:22.600
19:53.0,->,current ,ma,7948.9,7.9489,,00:22.700
19:53.1,->,current ,ma,7902.82,7.90282,,00:22.800
19:53.3,->,current ,ma,7948.9,7.9489,,00:22.900
19:53.4,->,current ,ma,7925.86,7.92586,,00:23.000
19:53.5,->,current ,ma,7902.82,7.90282,,00:23.100
19:53.6,->,current ,ma,7925.86,7.92586,,00:23.200
19:53.7,->,current ,ma,7925.86,7.92586,,00:23.300
19:53.8,->,current ,ma,7948.9,7.9489,,00:23.400
19:54.0,->,current ,ma,7925.86,7.92586,,00:23.500
19:54.1,->,current ,ma,7902.82,7.90282,,00:23.600
19:54.2,->,current ,ma,8018.02,8.01802,,00:23.700
19:54.4,->,current ,ma,7902.82,7.90282,,00:23.800
19:54.5,->,current ,ma,7925.86,7.92586,,00:23.900
19:54.6,->,current ,ma,7971.94,7.97194,,00:24.000
19:54.7,->,current ,ma,7902.82,7.90282,,00:24.100
19:54.8,->,current ,ma,7925.86,7.92586,,00:24.200
19:54.9,->,current ,ma,7902.82,7.90282,,00:24.300
19:55.1,->,current ,ma,7902.82,7.90282,,00:24.400
19:55.2,->,current ,ma,7971.94,7.97194,,00:24.500
19:55.3,->,current ,ma,7948.9,7.9489,,00:24.600
19:55.4,->,current ,ma,7994.98,7.99498,,00:24.700
19:55.5,->,current ,ma,7925.86,7.92586,,00:24.800
19:55.7,->,current ,ma,7925.86,7.92586,,00:24.900
19:55.8,->,current ,ma,7948.9,7.9489,,00:25.000
19:55.9,->,current ,ma,7925.86,7.92586,,00:25.100
19:56.0,->,current ,ma,7948.9,7.9489,,00:25.200
19:56.2,->,current ,ma,7948.9,7.9489,,00:25.300
19:56.3,->,current ,ma,7925.86,7.92586,,00:25.400
19:56.4,->,current ,ma,7810.66,7.81066,,00:25.500
19:56.5,->,current ,ma,7925.86,7.92586,,00:25.600
19:56.6,->,current ,ma,7948.9,7.9489,,00:25.700
19:56.8,->,current ,ma,7879.78,7.87978,,00:25.800
19:56.9,->,current ,ma,7902.82,7.90282,,00:25.900
19:57.0,->,current ,ma,7879.78,7.87978,,00:26.000
19:57.1,->,current ,ma,7879.78,7.87978,,00:26.100
19:57.2,->,current ,ma,7925.86,7.92586,,00:26.200
19:57.4,->,current ,ma,7925.86,7.92586,,00:26.300
19:57.5,->,current ,ma,7902.82,7.90282,,00:26.400
19:57.6,->,current ,ma,7948.9,7.9489,,00:26.500
19:57.7,->,current ,ma,7948.9,7.9489,,00:26.600
19:57.8,->,current ,ma,7994.98,7.99498,,00:26.700
19:58.0,->,current ,ma,7925.86,7.92586,,00:26.800
19:58.1,->,current ,ma,7902.82,7.90282,,00:26.900
19:58.2,->,current ,ma,7971.94,7.97194,,00:27.000
19:58.3,->,current ,ma,7925.86,7.92586,,00:27.100
19:58.4,->,current ,ma,7902.82,7.90282,,00:27.200
19:58.6,->,current ,ma,7994.98,7.99498,,00:27.300
19:58.7,->,current ,ma,7902.82,7.90282,,00:27.400
19:58.8,->,current ,ma,7994.98,7.99498,,00:27.500
19:59.0,->,current ,ma,7925.86,7.92586,,00:27.600
19:59.0,->,current ,ma,7902.82,7.90282,,00:27.700
19:59.2,->,current ,ma,7902.82,7.90282,,00:27.800
19:59.3,->,current ,ma,7948.9,7.9489,,00:27.900
19:59.4,->,current ,ma,7879.78,7.87978,,00:28.000
19:59.6,->,current ,ma,7902.82,7.90282,,00:28.100
19:59.7,->,current ,ma,7948.9,7.9489,,00:28.200
19:59.8,->,current ,ma,7948.9,7.9489,,00:28.300
19:59.9,->,current ,ma,7925.86,7.92586,,00:28.400
20:00.0,->,current ,ma,7925.86,7.92586,,00:28.500
20:00.1,->,current ,ma,7948.9,7.9489,,00:28.600
20:00.3,->,current ,ma,7879.78,7.87978,,00:28.700
20:00.4,->,current ,ma,7856.74,7.85674,,00:28.800
20:00.5,->,current ,ma,7902.82,7.90282,,00:28.900
20:00.6,->,current ,ma,7948.9,7.9489,,00:29.000
20:00.7,->,current ,ma,7925.86,7.92586,,00:29.100
20:00.9,->,current ,ma,7971.94,7.97194,,00:29.200
20:01.0,->,current ,ma,7948.9,7.9489,,00:29.300
20:01.1,->,current ,ma,7948.9,7.9489,,00:29.400
20:01.2,->,current ,ma,7925.86,7.92586,,00:29.500
20:01.4,->,current ,ma,7902.82,7.90282,,00:29.600
20:01.5,->,current ,ma,7948.9,7.9489,,00:29.700
20:01.6,->,current ,ma,7948.9,7.9489,,00:29.800
20:01.7,->,current ,ma,7925.86,7.92586,,00:29.900
20:01.8,->,current ,ma,7948.9,7.9489,,00:30.000
20:01.9,->,current ,ma,7879.78,7.87978,,00:30.100
20:02.1,->,current ,ma,7971.94,7.97194,,00:30.200
20:02.2,->,current ,ma,7902.82,7.90282,,00:30.300
20:02.3,->,current ,ma,7902.82,7.90282,,00:30.400
20:02.5,->,current ,ma,7925.86,7.92586,,00:30.500
20:02.6,->,current ,ma,7971.94,7.97194,,00:30.600
20:02.7,->,current ,ma,7994.98,7.99498,,00:30.700
20:02.8,->,current ,ma,7948.9,7.9489,,00:30.800
20:02.9,->,current ,ma,7948.9,7.9489,,00:30.900
20:03.1,->,current ,ma,7971.94,7.97194,,00:31.000
20:03.2,->,current ,ma,7925.86,7.92586,,00:31.100
20:03.3,->,current ,ma,7948.9,7.9489,,00:31.200
20:03.4,->,current ,ma,7971.94,7.97194,,00:31.300
20:03.5,->,current ,ma,7994.98,7.99498,,00:31.400
20:03.7,->,current ,ma,7925.86,7.92586,,00:31.500
20:03.8,->,current ,ma,7948.9,7.9489,,00:31.600
20:03.9,->,current ,ma,7948.9,7.9489,,00:31.700
20:04.0,->,current ,ma,7925.86,7.92586,,00:31.800
20:04.2,->,current ,ma,7994.98,7.99498,,00:31.900
20:04.3,->,current ,ma,7971.94,7.97194,,00:32.000
