TimeStamp,,,,Specification,Value_mA,Value_A,,TimeStamp_30
16:11:13.778 -> The value of current in ma : 9170.04,,,,current,9170.04,9.17004,,0:00:13.300
16:11:13.872 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:13.400
16:11:14.014 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:13.500
16:11:14.155 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:13.600
16:11:14.234 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:13.700
16:11:14.377 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:13.800
16:11:14.487 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:13.900
16:11:14.614 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:14.000
16:11:14.756 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:14.100
16:11:14.866 -> The value of current in ma : 9170.04,,,,current,9170.04,9.17004,,0:00:14.200
16:11:14.962 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:14.300
16:11:15.110 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:14.400
16:11:15.246 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:14.500
16:11:15.340 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:14.600
16:11:15.482 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:14.700
16:11:15.609 -> The value of current in ma : 9170.04,,,,current,9170.04,9.17004,,0:00:14.800
16:11:15.703 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:14.900
16:11:15.846 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:15.000
16:11:15.940 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:15.100
16:11:16.083 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:15.200
16:11:16.177 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:15.300
16:11:16.320 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:15.400
16:11:16.414 -> The value of current in ma : 9170.04,,,,current,9170.04,9.17004,,0:00:15.500
16:11:16.556 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:15.600
16:11:16.699 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:15.700
16:11:16.795 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:15.800
16:11:16.905 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:15.900
16:11:17.016 -> The value of current in ma : 9170.04,,,,current,9170.04,9.17004,,0:00:16.000
16:11:17.175 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:16.100
16:11:17.270 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:16.200
16:11:17.413 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:16.300
16:11:17.506 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:16.400
16:11:17.665 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:16.500
16:11:17.761 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:16.600
16:11:17.903 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:16.700
16:11:17.999 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:16.800
16:11:18.140 -> The value of current in ma : 9170.04,,,,current,9170.04,9.17004,,0:00:16.900
16:11:18.268 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:17.000
16:11:18.366 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:17.100
16:11:18.506 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:17.200
16:11:18.600 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:17.300
