F_mean,F_max,F_min,F_rms,F_std_dev,F_skewness,F_crest_factor,F_form_factor,fault_type
62.75423729,68,51,62.98257763,5.381094542,-0.632839149,1.079663656,1.003638644,0
62.95762712,77,51,63.22994088,5.886960918,-0.4701972,1.217777511,1.00432535,0
63.65254237,77,42,63.96046183,6.295266325,-0.698272119,1.203868731,1.004837505,0
62.47457627,77,51,62.72876776,5.6654778,-0.437151857,1.227506976,1.004068719,0
60.83898305,68,42,61.26360105,7.231188786,-0.915453902,1.109957607,1.006979374,0
62.77966102,68,51,62.97753164,5.00962423,-0.501498089,1.079750162,1.003151827,0
63.05932203,77,51,63.29183148,5.443246224,-0.313642487,1.216586694,1.003687154,0
63.3559322,77,42,63.71507019,6.784252031,-0.935600367,1.2085053,1.005668577,0
64.00847458,77,51,64.30495408,6.194146344,-0.512951959,1.197419407,1.004631879,0
68.22033898,531,51,81.67930261,45.10806314,9.5504468,6.501034938,1.197286672,0
66.61016949,111,51,67.07117393,7.883807812,1.95542725,1.65495836,1.006920932,0
63.09322034,77,42,63.4392142,6.644819701,-0.467261642,1.213760305,1.005483852,0
62.39830508,77,42,62.77677699,6.912320019,-0.958235834,1.226568226,1.00606542,0
62.63559322,77,51,62.88252432,5.590995897,-0.259035946,1.22450555,1.003942345,0
61.29661017,77,42,61.80155502,7.917641583,-0.529328956,1.245923342,1.008237729,0
61.55932203,77,42,61.86192937,6.137376556,-0.329663464,1.24470738,1.004915703,0
61.61864407,68,42,61.90294481,5.951254255,-0.814568225,1.098493783,1.004613875,0
63.05084746,77,51,63.31398753,5.791014935,-0.287886898,1.216160962,1.004173458,0
62.6440678,77,51,62.86021619,5.230622234,-0.313286872,1.224940108,1.003450421,0
61.65254237,77,42,62.04379263,6.986405748,-0.757986801,1.241058883,1.006346052,0
61.90677966,68,51,62.15719547,5.597599131,-0.480035048,1.094000453,1.004045047,0
62.55084746,68,51,62.77556202,5.329481714,-0.563356519,1.083224073,1.00359251,0
69.44067797,342,51,75.84830981,30.64172407,7.613361608,4.508999618,1.092274903,0
63.04237288,85,42,63.51064238,7.730939138,-0.754205925,1.338358373,1.007427853,0
63.61864407,77,42,63.93727064,6.402349317,-1.117129807,1.204305396,1.005008384,0
61.27966102,68,42,61.62454662,6.538362263,-0.55939307,1.103456394,1.00562806,0
63.92372881,77,51,64.1801622,5.755943461,-0.782267205,1.199747669,1.004011552,0
61.44067797,77,42,61.78105134,6.503834993,-0.471864419,1.246336835,1.00553987,0
63.94915254,77,51,64.15500298,5.157100255,-0.732492832,1.200218166,1.00321897,0
61.02542373,77,42,61.3711272,6.532576964,-0.509540383,1.254661655,1.005664909,0
61.15254237,77,51,61.49176602,6.47761051,-0.270335536,1.252200172,1.005547172,0
64,68,51,64.20570755,5.157353061,-1.008514941,1.059095875,1.00321418,0
61.06779661,68,51,61.31897707,5.568115601,-0.32503535,1.108955225,1.004113141,0
63.50847458,77,42,63.78565802,5.965349751,-0.85938893,1.207167918,1.004364511,0
65.37288136,77,51,65.5599092,4.969645657,-0.399277459,1.174498271,1.002860939,0
61.40677966,68,51,61.67176647,5.735237144,-0.400979843,1.102611517,1.00431527,0
61.21186441,68,42,61.60983027,7.021154476,-1.057435209,1.10371997,1.00650145,0
62.72033898,68,51,62.90691266,4.862002671,-0.414091288,1.080962284,1.002974692,0
64.24576271,77,51,64.48038724,5.519098837,-0.420581195,1.194161563,1.003651985,0
62.3559322,77,42,62.72322847,6.806891209,-0.843496641,1.227615381,1.005890318,0
62.81355932,77,51,63.15584705,6.594415084,-0.236529489,1.219206195,1.005449265,0
72.05932203,531,51,84.84387456,44.97868296,9.387329485,6.258554347,1.177417053,0
64.47457627,77,51,64.7371478,5.849555267,-0.209214777,1.189425278,1.004072482,0
63.6440678,77,42,63.90127449,5.752034829,-1.038931011,1.204983791,1.00404133,0
61.86440678,77,42,62.24051218,6.861156931,-0.708735678,1.237136349,1.006079512,0
62.30508475,77,51,62.5970433,6.06448041,-0.489984631,1.230090048,1.004685951,0
60.31355932,77,42,60.82894884,7.935314504,-0.361481842,1.265844659,1.008545168,0
61.88983051,77,51,62.09799527,5.102008819,-0.097953626,1.239975617,1.003363473,0
62,77,42,62.34798462,6.606135454,-0.742237068,1.235003833,1.005612655,0
62.49152542,77,51,62.76671902,5.896175441,-0.166517339,1.226764776,1.004403695,0
63.16101695,77,51,63.33319209,4.686715795,-0.085546226,1.215792185,1.002725972,0
60.97457627,77,42,61.40384518,7.278890993,-0.656818821,1.25399313,1.007040129,0
62.06779661,68,51,62.2915507,5.2975221,-0.4463239,1.091640828,1.003604995,0
68.25423729,342,51,74.84050838,30.83043963,7.585193365,4.569717756,1.09649615,0
63.6779661,77,42,64.09963114,7.371556975,-1.169853899,1.201254963,1.006621836,0
62.78813559,85,42,63.13927301,6.678005351,-0.544284879,1.346230261,1.005592417,0
63.77118644,77,51,64.04811486,5.974891934,-0.792499305,1.202221177,1.004342532,0
61.92372881,77,42,62.26903085,6.576514521,-0.593947051,1.236569751,1.005576248,0
62.6779661,77,42,63.04975168,6.866095764,-0.71032421,1.221257784,1.005931679,0
