test,max0,max1,max2,max3,max4,max5,max6,max7,max8,max9,max10,max11,max12,max13,max14,max15,max16,max17,max18,max19,max20,max21,max22,max23,max24,max25,max26,max27,max28,max29
17,8.17931,6.204,6.394,6.394,6.532,6.204,6.497,6.376,6.342,6.463,6.808,6.29,6.878,6.912,6.446,6.307,6.29,6.29,6.687,6.566,6.169,6.394,6.359,6.497,6.67,6.134,6.808,6.255,6.273,6.394
18,8.11018,6.186,6.394,6.359,6.549,6.186,6.532,6.359,6.325,6.463,6.774,6.29,6.86,6.912,6.411,6.325,6.325,6.307,6.687,6.566,6.169,6.394,6.359,6.463,6.636,6.117,6.808,6.238,6.29,6.394
19,8.08714,6.169,6.376,6.325,6.532,6.204,6.549,6.376,6.342,6.446,6.826,6.307,6.86,6.929,6.446,6.307,6.29,6.29,6.705,6.566,6.204,6.376,6.359,6.463,6.618,6.134,6.808,6.273,6.29,6.376
20,8.0641,6.221,6.359,6.325,6.549,6.186,6.515,6.376,6.376,6.463,6.808,6.29,6.843,6.929,6.411,6.325,6.29,6.255,6.687,6.601,6.204,6.376,6.359,6.48,6.653,6.152,6.791,6.273,6.325,6.376
21,8.04106,6.204,6.359,6.359,6.549,6.186,6.584,6.359,6.376,6.463,6.774,6.29,6.86,6.912,6.428,6.307,6.29,6.307,6.687,6.584,6.169,6.394,6.359,6.48,6.67,6.134,6.826,6.307,6.29,6.376
22,8.08714,6.204,6.376,6.342,6.549,6.221,6.532,6.376,6.342,6.446,6.791,6.307,6.86,6.929,6.411,6.325,6.307,6.273,6.67,6.566,6.204,6.359,6.342,6.463,6.636,6.134,6.808,6.29,6.29,6.376
23,8.08714,6.186,6.359,6.342,6.566,6.204,6.584,6.411,6.359,6.463,6.808,6.29,6.843,6.912,6.446,6.342,6.29,6.29,6.687,6.566,6.204,6.376,6.342,6.463,6.653,6.117,6.808,6.273,6.29,6.394
24,8.11018,6.204,6.359,6.342,6.549,6.204,6.532,6.376,6.342,6.446,6.826,6.307,6.843,6.895,6.411,6.325,6.29,6.273,6.687,6.566,6.169,6.376,6.376,6.463,6.653,6.083,6.843,6.273,6.29,6.394
25,8.08714,6.186,6.394,6.394,6.532,6.186,6.601,6.359,6.342,6.463,6.843,6.29,6.843,6.912,6.411,6.29,6.325,6.29,6.67,6.549,6.186,6.359,6.359,6.463,6.636,6.117,6.808,6.255,6.307,6.411
26,8.08714,6.204,6.394,6.394,6.532,6.204,6.532,6.359,6.342,6.48,6.808,6.307,6.878,6.912,6.411,6.325,6.29,6.273,6.67,6.549,6.186,6.376,6.359,6.463,6.636,6.134,6.808,6.273,6.29,6.394
