test,max0,max1,max2,max3,max4,max5,max6,max7,max8,max9,max10,max11,max12,max13,max14,max15,max16,max17,max18,max19,max20,max21,max22,max23,max24,max25,max26,max27,max28,max29
252,7.85674,6.221,6.204,6.29,6.394,6.169,6.636,6.342,6.29,6.446,6.636,6.238,6.774,6.826,6.359,6.273,6.221,6.238,6.566,6.515,6.134,6.273,6.29,6.446,6.497,6.152,6.497,6.186,6.255,6.359
253,7.87978,6.221,6.169,6.29,6.376,6.169,6.653,6.325,6.307,6.428,6.653,6.221,6.739,6.843,6.342,6.238,6.238,6.255,6.549,6.532,6.152,6.307,6.255,6.428,6.463,6.117,6.515,6.152,6.238,6.376
254,7.92586,6.221,6.169,6.342,6.376,6.204,6.705,6.342,6.29,6.48,6.653,6.221,6.774,6.86,6.394,6.238,6.204,6.238,6.549,6.532,6.152,6.325,6.29,6.428,6.497,6.117,6.515,6.186,6.255,6.359
255,7.92586,6.204,6.152,6.29,6.411,6.152,6.636,6.342,6.307,6.446,6.653,6.238,6.739,6.878,6.376,6.255,6.221,6.238,6.549,6.532,6.134,6.342,6.273,6.411,6.497,6.117,6.515,6.186,6.273,6.342
256,7.90282,6.204,6.169,6.359,6.394,6.204,6.687,6.325,6.307,6.428,6.67,6.221,6.739,6.878,6.359,6.238,6.238,6.255,6.549,6.497,6.083,6.29,6.273,6.411,6.515,6.1,6.463,6.169,6.238,6.359
257,7.87978,6.238,6.169,6.325,6.394,6.169,6.653,6.325,6.307,6.428,6.636,6.221,6.757,6.843,6.342,6.221,6.221,6.255,6.549,6.515,6.1,6.238,6.255,6.428,6.515,6.1,6.515,6.152,6.255,6.359
258,7.87978,6.186,6.169,6.325,6.394,6.169,6.653,6.325,6.29,6.446,6.618,6.221,6.739,6.86,6.359,6.238,6.221,6.204,6.566,6.515,6.117,6.238,6.29,6.411,6.532,6.1,6.515,6.186,6.238,6.376
259,7.87978,6.186,6.186,6.376,6.394,6.186,6.67,6.342,6.29,6.446,6.601,6.255,6.705,6.826,6.342,6.238,6.221,6.221,6.584,6.532,6.134,6.29,6.273,6.428,6.532,6.1,6.515,6.152,6.255,6.376
260,7.92586,6.221,6.169,6.342,6.376,6.186,6.601,6.342,6.29,6.446,6.584,6.221,6.739,6.843,6.342,6.238,6.221,6.204,6.601,6.515,6.169,6.307,6.29,6.411,6.515,6.134,6.515,6.152,6.238,6.359
261,7.90282,6.204,6.186,6.325,6.394,6.186,6.584,6.307,6.307,6.446,6.601,6.221,6.774,6.843,6.342,6.273,6.221,6.255,6.584,6.549,6.134,6.273,6.29,6.428,6.532,6.117,6.48,6.152,6.273,6.394
262,7.92586,6.169,6.152,6.342,6.376,6.169,6.618,6.342,6.307,6.446,6.618,6.238,6.757,6.86,6.342,6.273,6.204,6.255,6.566,6.532,6.152,6.238,6.29,6.428,6.515,6.134,6.463,6.186,6.238,6.359
263,7.87978,6.186,6.169,6.29,6.428,6.169,6.653,6.325,6.29,6.428,6.618,6.238,6.705,6.86,6.342,6.238,6.221,6.238,6.532,6.497,6.134,6.238,6.273,6.411,6.497,6.134,6.48,6.152,6.255,6.359
264,7.92586,6.221,6.186,6.307,6.376,6.169,6.636,6.325,6.273,6.446,6.636,6.221,6.739,6.843,6.359,6.238,6.238,6.221,6.584,6.497,6.134,6.29,6.325,6.428,6.497,6.1,6.48,6.169,6.255,6.359
265,7.87978,6.204,6.169,6.325,6.394,6.169,6.67,6.342,6.307,6.446,6.653,6.204,6.722,6.843,6.342,6.273,6.221,6.238,6.566,6.515,6.117,6.325,6.29,6.394,6.532,6.134,6.497,6.152,6.238,6.376
266,7.90282,6.204,6.169,6.29,6.376,6.169,6.636,6.325,6.307,6.48,6.618,6.204,6.705,6.843,6.376,6.273,6.238,6.238,6.601,6.515,6.152,6.29,6.273,6.376,6.497,6.1,6.48,6.152,6.255,6.359
267,7.92586,6.186,6.204,6.273,6.394,6.169,6.566,6.342,6.29,6.48,6.618,6.221,6.739,6.843,6.359,6.238,6.221,6.238,6.566,6.532,6.152,6.307,6.29,6.394,6.532,6.134,6.497,6.169,6.238,6.359
268,7.90282,6.221,6.204,6.29,6.376,6.169,6.584,6.342,6.29,6.446,6.618,6.204,6.722,6.843,6.342,6.255,6.221,6.255,6.549,6.515,6.134,6.238,6.273,6.394,6.515,6.134,6.463,6.152,6.255,6.376
269,7.8337,6.221,6.169,6.359,6.359,6.186,6.601,6.342,6.325,6.446,6.636,6.186,6.705,6.843,6.359,6.255,6.221,6.255,6.532,6.515,6.117,6.273,6.29,6.446,6.532,6.152,6.515,6.152,6.255,6.359
270,7.87978,6.186,6.169,6.325,6.394,6.169,6.584,6.325,6.325,6.446,6.618,6.204,6.722,6.843,6.342,6.255,6.204,6.238,6.549,6.532,6.117,6.238,6.307,6.411,6.497,6.117,6.515,6.186,6.238,6.359
271,7.92586,6.204,6.152,6.307,6.376,6.152,6.618,6.325,6.307,6.428,6.636,6.204,6.722,6.878,6.342,6.255,6.221,6.238,6.566,6.515,6.134,6.221,6.273,6.411,6.515,6.152,6.515,6.152,6.255,6.359
272,7.87978,6.221,6.152,6.238,6.376,6.169,6.584,6.325,6.307,6.446,6.618,6.204,6.705,6.843,6.325,6.255,6.238,6.221,6.549,6.532,6.134,6.255,6.273,6.411,6.515,6.134,6.497,6.152,6.255,6.394
273,7.85674,6.204,6.186,6.273,6.359,6.152,6.584,6.342,6.325,6.463,6.601,6.221,6.705,6.843,6.342,6.255,6.221,6.238,6.532,6.532,6.083,6.307,6.29,6.394,6.48,6.117,6.463,6.169,6.255,6.359
274,7.87978,6.186,6.169,6.307,6.394,6.169,6.584,6.376,6.325,6.48,6.601,6.221,6.722,6.86,6.376,6.255,6.221,6.238,6.584,6.532,6.117,6.342,6.273,6.394,6.463,6.117,6.463,6.169,6.255,6.342
275,7.87978,6.221,6.134,6.273,6.394,6.169,6.566,6.342,6.307,6.48,6.636,6.221,6.739,6.826,6.342,6.255,6.204,6.186,6.584,6.532,6.117,6.325,6.255,6.446,6.48,6.117,6.497,6.134,6.221,6.376
276,7.90282,6.204,6.221,6.325,6.376,6.186,6.618,6.359,6.29,6.428,6.618,6.221,6.705,6.86,6.325,6.238,6.221,6.221,6.584,6.515,6.117,6.255,6.255,6.446,6.497,6.1,6.532,6.152,6.238,6.359
277,7.90282,6.204,6.169,6.255,6.394,6.169,6.584,6.376,6.359,6.463,6.636,6.186,6.757,6.826,6.342,6.255,6.221,6.238,6.584,6.515,6.134,6.307,6.29,6.428,6.48,6.117,6.497,6.169,6.238,6.376
278,7.92586,6.186,6.152,6.273,6.359,6.186,6.618,6.342,6.29,6.463,6.636,6.221,6.722,6.826,6.359,6.238,6.204,6.221,6.549,6.532,6.169,6.29,6.273,6.428,6.446,6.134,6.497,6.152,6.221,6.376
279,7.90282,6.204,6.186,6.29,6.394,6.169,6.566,6.342,6.325,6.463,6.636,6.221,6.705,6.843,6.325,6.238,6.221,6.221,6.549,6.48,6.134,6.238,6.29,6.428,6.497,6.117,6.497,6.152,6.221,6.359
280,7.90282,6.204,6.152,6.255,6.394,6.186,6.549,6.342,6.325,6.463,6.618,6.221,6.739,6.843,6.359,6.273,6.221,6.238,6.515,6.515,6.117,6.238,6.255,6.411,6.497,6.1,6.463,6.152,6.255,6.376
281,7.87978,6.221,6.134,6.29,6.376,6.204,6.67,6.342,6.307,6.446,6.636,6.238,6.739,6.86,6.342,6.221,6.221,6.255,6.532,6.532,6.134,6.273,6.255,6.411,6.48,6.117,6.48,6.169,6.221,6.325
282,7.85674,6.221,6.152,6.29,6.394,6.186,6.705,6.307,6.307,6.463,6.653,6.204,6.722,6.826,6.325,6.255,6.221,6.238,6.497,6.497,6.134,6.273,6.307,6.428,6.48,6.1,6.48,6.186,6.273,6.342
283,7.87978,6.204,6.1,6.342,6.394,6.186,6.618,6.342,6.325,6.428,6.618,6.238,6.739,6.826,6.342,6.273,6.221,6.255,6.48,6.497,6.134,6.221,6.29,6.376,6.463,6.117,6.497,6.169,6.273,6.342
284,7.8337,6.238,6.134,6.307,6.376,6.186,6.653,6.342,6.307,6.428,6.601,6.221,6.739,6.843,6.342,6.221,6.255,6.273,6.549,6.497,6.152,6.204,6.273,6.376,6.463,6.1,6.497,6.169,6.221,6.342
285,7.92586,6.221,6.117,6.307,6.394,6.186,6.653,6.376,6.307,6.428,6.618,6.221,6.739,6.826,6.325,6.307,6.221,6.307,6.566,6.497,6.152,6.255,6.238,6.394,6.463,6.1,6.463,6.169,6.238,6.359
286,7.85674,6.204,6.117,6.307,6.376,6.169,6.67,6.342,6.307,6.428,6.618,6.238,6.722,6.843,6.325,6.238,6.204,6.342,6.532,6.48,6.152,6.307,6.29,6.376,6.463,6.117,6.463,6.152,6.238,6.342
287,7.90282,6.186,6.117,6.238,6.359,6.169,6.67,6.342,6.307,6.428,6.601,6.204,6.722,6.843,6.342,6.255,6.221,6.325,6.549,6.48,6.169,6.255,6.255,6.394,6.463,6.117,6.497,6.169,6.238,6.359
288,7.87978,6.186,6.152,6.342,6.394,6.204,6.636,6.325,6.307,6.428,6.653,6.221,6.687,6.843,6.342,6.255,6.238,6.342,6.566,6.515,6.117,6.255,6.273,6.411,6.48,6.117,6.48,6.152,6.238,6.325
289,7.87978,6.204,6.134,6.359,6.376,6.186,6.601,6.342,6.307,6.446,6.618,6.221,6.722,6.826,6.342,6.255,6.221,6.273,6.618,6.532,6.152,6.29,6.273,6.411,6.463,6.117,6.48,6.152,6.238,6.325
290,7.92586,6.186,6.134,6.342,6.411,6.186,6.601,6.342,6.325,6.428,6.636,6.221,6.739,6.826,6.342,6.238,6.204,6.29,6.618,6.515,6.117,6.29,6.273,6.376,6.515,6.152,6.463,6.186,6.255,6.342
291,7.87978,6.204,6.152,6.325,6.359,6.186,6.566,6.342,6.29,6.446,6.618,6.186,6.722,6.826,6.376,6.255,6.221,6.238,6.584,6.515,6.117,6.307,6.255,6.428,6.515,6.152,6.48,6.186,6.221,6.359
292,7.85674,6.186,6.134,6.29,6.394,6.169,6.601,6.325,6.307,6.463,6.636,6.186,6.722,6.843,6.325,6.255,6.204,6.204,6.566,6.515,6.152,6.273,6.255,6.394,6.48,6.117,6.463,6.134,6.238,6.325
293,7.87978,6.186,6.117,6.204,6.394,6.186,6.566,6.342,6.29,6.463,6.636,6.204,6.722,6.843,6.307,6.255,6.221,6.238,6.566,6.515,6.134,6.29,6.29,6.428,6.515,6.169,6.48,6.186,6.255,6.376
294,7.87978,6.204,6.152,6.342,6.394,6.169,6.601,6.342,6.307,6.446,6.618,6.204,6.705,6.878,6.325,6.255,6.186,6.221,6.566,6.515,6.186,6.273,6.255,6.411,6.515,6.134,6.48,6.186,6.221,6.359
295,7.85674,6.186,6.134,6.394,6.394,6.204,6.618,6.342,6.29,6.446,6.618,6.204,6.705,6.86,6.342,6.255,6.221,6.204,6.584,6.515,6.134,6.29,6.273,6.411,6.497,6.1,6.48,6.152,6.221,6.342
296,7.85674,6.204,6.1,6.376,6.428,6.186,6.601,6.342,6.29,6.446,6.618,6.255,6.739,6.843,6.325,6.221,6.204,6.255,6.584,6.549,6.152,6.221,6.29,6.411,6.48,6.117,6.463,6.169,6.255,6.342
297,7.92586,6.186,6.117,6.325,6.376,6.186,6.584,6.325,6.273,6.463,6.618,6.221,6.739,6.878,6.307,6.238,6.204,6.204,6.566,6.515,6.134,6.221,6.273,6.411,6.515,6.117,6.497,6.169,6.221,6.342
298,7.92586,6.204,6.117,6.325,6.411,6.169,6.636,6.342,6.29,6.463,6.618,6.221,6.774,6.843,6.325,6.221,6.238,6.255,6.566,6.532,6.134,6.221,6.273,6.411,6.48,6.134,6.463,6.152,6.238,6.325
299,7.85674,6.204,6.134,6.342,6.359,6.169,6.636,6.325,6.273,6.428,6.618,6.221,6.722,6.843,6.307,6.255,6.273,6.255,6.549,6.515,6.134,6.307,6.273,6.411,6.497,6.117,6.463,6.169,6.255,6.359
300,7.92586,6.186,6.134,6.307,6.376,6.169,6.653,6.342,6.29,6.446,6.636,6.221,6.739,6.843,6.342,6.29,6.273,6.221,6.566,6.532,6.169,6.273,6.273,6.394,6.48,6.117,6.48,6.169,6.255,6.359
301,7.92586,6.204,6.117,6.325,6.376,6.169,6.653,6.342,6.273,6.446,6.636,6.204,6.705,6.86,6.325,6.221,6.238,6.204,6.549,6.515,6.152,6.238,6.273,6.428,6.497,6.117,6.48,6.134,6.238,6.359
302,7.87978,6.204,6.117,6.342,6.359,6.204,6.636,6.359,6.29,6.446,6.636,6.221,6.722,6.843,6.325,6.255,6.238,6.204,6.532,6.532,6.152,6.273,6.273,6.376,6.532,6.117,6.463,6.169,6.221,6.342
303,7.85674,6.221,6.152,6.273,6.359,6.186,6.636,6.342,6.273,6.446,6.601,6.221,6.722,6.86,6.342,6.238,6.221,6.221,6.549,6.515,6.134,6.342,6.255,6.376,6.48,6.117,6.463,6.152,6.255,6.359
304,7.90282,6.221,6.152,6.29,6.376,6.186,6.653,6.359,6.273,6.463,6.601,6.186,6.739,6.86,6.325,6.238,6.238,6.238,6.549,6.515,6.152,6.325,6.273,6.394,6.549,6.134,6.497,6.152,6.238,6.325
305,7.90282,6.221,6.117,6.342,6.376,6.204,6.636,6.359,6.29,6.48,6.636,6.221,6.722,6.843,6.325,6.255,6.238,6.221,6.549,6.497,6.134,6.29,6.273,6.342,6.497,6.134,6.497,6.152,6.238,6.376
306,7.85674,6.186,6.1,6.325,6.376,6.186,6.618,6.359,6.238,6.446,6.618,6.221,6.687,6.843,6.342,6.238,6.238,6.204,6.549,6.515,6.152,6.307,6.273,6.359,6.497,6.134,6.463,6.134,6.238,6.342
307,7.92586,6.204,6.117,6.342,6.359,6.186,6.636,6.325,6.255,6.411,6.601,6.221,6.705,6.843,6.342,6.255,6.221,6.238,6.532,6.532,6.134,6.255,6.255,6.376,6.48,6.134,6.463,6.169,6.238,6.325
308,7.87978,6.204,6.1,6.325,6.359,6.169,6.584,6.325,6.273,6.428,6.618,6.204,6.722,6.843,6.307,6.238,6.221,6.238,6.497,6.532,6.134,6.273,6.273,6.376,6.497,6.134,6.463,6.186,6.238,6.359
309,7.85674,6.204,6.134,6.273,6.394,6.204,6.636,6.325,6.29,6.446,6.636,6.221,6.739,6.826,6.325,6.255,6.221,6.204,6.515,6.532,6.152,6.342,6.29,6.376,6.48,6.134,6.463,6.152,6.221,6.376
310,7.87978,6.204,6.152,6.238,6.376,6.221,6.618,6.342,6.273,6.463,6.618,6.221,6.739,6.843,6.325,6.273,6.221,6.238,6.497,6.497,6.152,6.342,6.273,6.411,6.48,6.134,6.497,6.152,6.221,6.342
311,7.9489,6.169,6.134,6.29,6.359,6.186,6.618,6.325,6.29,6.48,6.601,6.204,6.705,6.826,6.325,6.238,6.221,6.238,6.549,6.497,6.169,6.307,6.273,6.411,6.463,6.134,6.463,6.186,6.221,6.376
312,7.92586,6.134,6.134,6.29,6.359,6.186,6.653,6.342,6.273,6.428,6.584,6.204,6.722,6.843,6.342,6.238,6.221,6.204,6.549,6.515,6.152,6.307,6.273,6.394,6.48,6.134,6.515,6.152,6.221,6.359
313,7.87978,6.152,6.1,6.273,6.376,6.186,6.67,6.342,6.273,6.446,6.636,6.221,6.722,6.843,6.342,6.238,6.204,6.238,6.601,6.497,6.134,6.273,6.307,6.394,6.463,6.1,6.48,6.169,6.221,6.359
314,7.90282,6.152,6.117,6.307,6.359,6.169,6.601,6.325,6.273,6.446,6.601,6.238,6.722,6.826,6.342,6.221,6.204,6.221,6.566,6.515,6.152,6.273,6.255,6.411,6.446,6.134,6.463,6.152,6.221,6.394
315,7.90282,6.152,6.1,6.273,6.376,6.186,6.601,6.325,6.273,6.463,6.618,6.221,6.739,6.86,6.342,6.29,6.204,6.204,6.566,6.515,6.152,6.307,6.273,6.411,6.446,6.134,6.463,6.186,6.238,6.342
316,7.85674,6.117,6.134,6.307,6.376,6.204,6.601,6.342,6.273,6.428,6.618,6.204,6.722,6.86,6.342,6.255,6.186,6.221,6.515,6.515,6.152,6.273,6.255,6.428,6.446,6.117,6.48,6.152,6.238,6.376
317,7.90282,6.117,6.117,6.307,6.359,6.204,6.584,6.325,6.255,6.446,6.636,6.221,6.739,6.86,6.325,6.255,6.221,6.204,6.497,6.515,6.152,6.307,6.255,6.394,6.446,6.152,6.463,6.152,6.238,6.342
318,7.90282,6.152,6.117,6.342,6.359,6.169,6.584,6.342,6.255,6.428,6.636,6.221,6.722,6.843,6.342,6.238,6.204,6.221,6.566,6.515,6.117,6.325,6.273,6.411,6.446,6.134,6.48,6.169,6.238,6.342
319,7.9489,6.169,6.134,6.325,6.376,6.169,6.549,6.342,6.273,6.428,6.618,6.238,6.722,6.843,6.359,6.238,6.186,6.221,6.584,6.532,6.117,6.325,6.273,6.376,6.446,6.134,6.463,6.152,6.221,6.342
320,7.85674,6.152,6.117,6.273,6.359,6.169,6.566,6.342,6.273,6.446,6.601,6.221,6.739,6.843,6.325,6.238,6.186,6.221,6.566,6.48,6.117,6.29,6.29,6.394,6.428,6.134,6.48,6.169,6.204,6.342
321,7.85674,6.117,6.134,6.255,6.376,6.204,6.566,6.359,6.273,6.428,6.601,6.221,6.739,6.86,6.342,6.238,6.186,6.238,6.601,6.48,6.152,6.29,6.273,6.394,6.446,6.117,6.497,6.169,6.238,6.342
322,7.92586,6.134,6.152,6.238,6.359,6.186,6.601,6.325,6.29,6.428,6.636,6.204,6.739,6.826,6.325,6.238,6.204,6.221,6.549,6.515,6.134,6.273,6.238,6.394,6.463,6.134,6.463,6.169,6.204,6.359
323,7.90282,6.152,6.117,6.221,6.342,6.186,6.515,6.325,6.255,6.428,6.636,6.221,6.722,6.826,6.325,6.238,6.204,6.238,6.566,6.497,6.134,6.221,6.255,6.394,6.446,6.117,6.463,6.186,6.238,6.394
324,7.90282,6.152,6.083,6.255,6.342,6.169,6.566,6.325,6.273,6.446,6.636,6.238,6.705,6.843,6.325,6.255,6.204,6.221,6.549,6.566,6.152,6.255,6.273,6.394,6.48,6.117,6.463,6.134,6.29,6.376
325,7.87978,6.169,6.117,6.307,6.342,6.186,6.618,6.307,6.273,6.446,6.618,6.204,6.722,6.843,6.325,6.255,6.204,6.221,6.515,6.549,6.117,6.255,6.273,6.394,6.497,6.1,6.463,6.134,6.221,6.359
326,7.92586,6.134,6.083,6.325,6.342,6.186,6.549,6.342,6.29,6.446,6.636,6.204,6.705,6.843,6.342,6.29,6.221,6.238,6.566,6.532,6.134,6.273,6.255,6.411,6.497,6.134,6.463,6.204,6.221,6.359
327,7.8337,6.169,6.1,6.307,6.325,6.169,6.566,6.359,6.273,6.428,6.618,6.255,6.722,6.826,6.376,6.238,6.221,6.221,6.566,6.515,6.117,6.307,6.273,6.376,6.497,6.134,6.48,6.169,6.221,6.342
328,7.8337,6.169,6.1,6.273,6.342,6.204,6.532,6.342,6.273,6.463,6.636,6.204,6.705,6.843,6.342,6.221,6.221,6.255,6.566,6.549,6.1,6.273,6.29,6.394,6.497,6.117,6.497,6.169,6.255,6.342
329,7.92586,6.186,6.117,6.273,6.359,6.204,6.549,6.325,6.273,6.446,6.636,6.238,6.705,6.826,6.325,6.255,6.238,6.238,6.532,6.566,6.1,6.255,6.255,6.376,6.497,6.117,6.446,6.169,6.221,6.359
330,7.90282,6.169,6.117,6.307,6.359,6.204,6.636,6.325,6.273,6.428,6.636,6.186,6.705,6.878,6.342,6.238,6.204,6.221,6.497,6.532,6.083,6.325,6.29,6.411,6.463,6.134,6.463,6.169,6.238,6.342
331,7.87978,6.152,6.117,6.307,6.359,6.221,6.566,6.325,6.273,6.446,6.618,6.238,6.739,6.86,6.342,6.238,6.221,6.221,6.532,6.549,6.083,6.342,6.255,6.394,6.48,6.1,6.549,6.169,6.238,6.342
332,7.90282,6.134,6.134,6.255,6.342,6.186,6.515,6.325,6.255,6.428,6.618,6.186,6.722,6.843,6.325,6.307,6.204,6.204,6.549,6.515,6.1,6.325,6.273,6.359,6.497,6.1,6.463,6.169,6.238,6.359
333,7.92586,6.152,6.1,6.238,6.394,6.186,6.549,6.325,6.273,6.463,6.636,6.204,6.722,6.86,6.342,6.238,6.204,6.221,6.549,6.497,6.134,6.238,6.255,6.376,6.48,6.117,6.463,6.152,6.221,6.325
334,7.90282,6.152,6.1,6.29,6.342,6.186,6.515,6.325,6.255,6.446,6.618,6.221,6.705,6.808,6.342,6.238,6.204,6.221,6.532,6.532,6.134,6.186,6.255,6.325,6.497,6.1,6.48,6.152,6.238,6.359
335,7.87978,6.152,6.117,6.255,6.342,6.221,6.532,6.325,6.273,6.446,6.636,6.238,6.705,6.86,6.325,6.238,6.221,6.221,6.532,6.515,6.169,6.221,6.273,6.394,6.463,6.083,6.463,6.169,6.221,6.342
336,7.9489,6.117,6.117,6.255,6.342,6.204,6.515,6.325,6.273,6.428,6.601,6.204,6.739,6.843,6.325,6.255,6.238,6.221,6.532,6.549,6.134,6.238,6.273,6.394,6.497,6.134,6.463,6.152,6.204,6.359
337,7.87978,6.169,6.117,6.342,6.325,6.186,6.549,6.325,6.273,6.428,6.618,6.221,6.705,6.843,6.342,6.238,6.221,6.204,6.532,6.515,6.134,6.204,6.273,6.376,6.48,6.134,6.428,6.152,6.255,6.325
338,7.90282,6.204,6.117,6.359,6.325,6.204,6.532,6.325,6.255,6.446,6.601,6.221,6.739,6.808,6.359,6.221,6.204,6.255,6.497,6.549,6.152,6.29,6.273,6.428,6.48,6.134,6.446,6.152,6.221,6.342
339,7.9489,6.238,6.1,6.307,6.342,6.204,6.549,6.325,6.255,6.428,6.584,6.204,6.705,6.843,6.325,6.255,6.221,6.221,6.48,6.532,6.134,6.325,6.273,6.376,6.48,6.152,6.463,6.134,6.204,6.342
340,7.87978,6.169,6.117,6.307,6.342,6.186,6.584,6.342,6.255,6.446,6.636,6.204,6.705,6.843,6.342,6.238,6.204,6.204,6.497,6.515,6.1,6.29,6.273,6.394,6.497,6.1,6.463,6.169,6.238,6.342
341,7.90282,6.186,6.1,6.273,6.342,6.204,6.584,6.342,6.307,6.446,6.618,6.204,6.705,6.843,6.359,6.238,6.204,6.221,6.48,6.549,6.1,6.273,6.29,6.376,6.48,6.134,6.446,6.152,6.255,6.359
342,7.92586,6.152,6.1,6.255,6.342,6.186,6.636,6.342,6.273,6.48,6.601,6.221,6.687,6.843,6.342,6.238,6.221,6.221,6.515,6.566,6.117,6.325,6.255,6.376,6.463,6.152,6.463,6.204,6.238,6.342
343,7.9489,6.134,6.083,6.325,6.325,6.204,6.566,6.342,6.255,6.446,6.618,6.221,6.705,6.843,6.325,6.238,6.221,6.221,6.549,6.584,6.1,6.255,6.255,6.394,6.48,6.117,6.446,6.134,6.255,6.359
344,7.92586,6.186,6.1,6.325,6.307,6.186,6.584,6.325,6.255,6.446,6.618,6.221,6.687,6.826,6.342,6.221,6.221,6.255,6.566,6.549,6.117,6.221,6.273,6.359,6.463,6.117,6.463,6.152,6.238,6.342
345,7.97194,6.169,6.083,6.342,6.325,6.204,6.566,6.342,6.273,6.48,6.601,6.238,6.722,6.843,6.342,6.307,6.221,6.221,6.584,6.549,6.152,6.221,6.238,6.359,6.463,6.134,6.463,6.152,6.238,6.376
346,8.04106,6.186,6.1,6.342,6.342,6.186,6.584,6.359,6.273,6.463,6.601,6.221,6.705,6.878,6.342,6.255,6.204,6.204,6.566,6.532,6.134,6.238,6.255,6.376,6.463,6.1,6.497,6.152,6.238,6.325
347,7.87978,6.169,6.083,6.307,6.342,6.186,6.515,6.359,6.255,6.463,6.636,6.221,6.705,6.843,6.307,6.238,6.221,6.238,6.549,6.549,6.134,6.255,6.273,6.394,6.446,6.134,6.48,6.186,6.221,6.359
348,7.90282,6.117,6.1,6.325,6.342,6.221,6.497,6.359,6.255,6.446,6.653,6.204,6.705,6.843,6.325,6.221,6.221,6.238,6.532,6.566,6.152,6.29,6.273,6.394,6.411,6.134,6.497,6.152,6.273,6.342
349,7.9489,6.134,6.1,6.29,6.342,6.204,6.566,6.325,6.255,6.446,6.636,6.186,6.722,6.826,6.342,6.238,6.204,6.221,6.497,6.584,6.134,6.307,6.273,6.394,6.446,6.169,6.463,6.169,6.238,6.325
350,7.90282,6.152,6.117,6.273,6.29,6.186,6.566,6.342,6.273,6.446,6.601,6.255,6.705,6.86,6.325,6.238,6.221,6.221,6.497,6.584,6.169,6.29,6.255,6.376,6.48,6.117,6.463,6.152,6.238,6.325
351,7.92586,6.186,6.1,6.221,6.359,6.186,6.584,6.359,6.255,6.446,6.653,6.186,6.722,6.808,6.325,6.221,6.221,6.238,6.532,6.566,6.152,6.273,6.273,6.376,6.497,6.152,6.446,6.152,6.221,6.342
352,7.92586,6.186,6.117,6.238,6.29,6.186,6.566,6.325,6.273,6.446,6.636,6.238,6.705,6.86,6.307,6.238,6.238,6.238,6.515,6.549,6.152,6.221,6.273,6.411,6.48,6.134,6.48,6.134,6.238,6.307
353,7.90282,6.186,6.117,6.325,6.325,6.186,6.584,6.342,6.255,6.446,6.566,6.238,6.705,6.808,6.325,6.238,6.221,6.221,6.497,6.549,6.169,6.238,6.273,6.411,6.48,6.134,6.463,6.169,6.238,6.29
354,7.92586,6.186,6.1,6.359,6.325,6.204,6.566,6.342,6.255,6.446,6.566,6.186,6.687,6.878,6.325,6.238,6.204,6.255,6.497,6.532,6.152,6.255,6.307,6.428,6.497,6.134,6.48,6.169,6.255,6.359
355,7.92586,6.152,6.152,6.29,6.307,6.221,6.566,6.342,6.255,6.428,6.584,6.186,6.757,6.843,6.325,6.238,6.238,6.221,6.532,6.601,6.169,6.29,6.255,6.394,6.48,6.117,6.446,6.152,6.221,6.325
356,7.9489,6.152,6.117,6.359,6.307,6.169,6.584,6.325,6.255,6.428,6.549,6.186,6.705,6.843,6.325,6.255,6.221,6.238,6.497,6.584,6.152,6.255,6.273,6.376,6.463,6.117,6.428,6.186,6.238,6.307
357,7.90282,6.134,6.117,6.325,6.325,6.186,6.566,6.359,6.238,6.446,6.584,6.186,6.705,6.826,6.325,6.221,6.204,6.238,6.566,6.601,6.152,6.255,6.307,6.394,6.515,6.1,6.446,6.169,6.221,6.307
358,7.92586,6.186,6.117,6.29,6.342,6.169,6.618,6.342,6.273,6.428,6.584,6.238,6.722,6.86,6.325,6.255,6.221,6.221,6.515,6.566,6.117,6.255,6.255,6.394,6.497,6.1,6.428,6.152,6.238,6.307
359,7.99498,6.169,6.1,6.204,6.307,6.204,6.532,6.325,6.273,6.428,6.566,6.186,6.722,6.826,6.325,6.221,6.221,6.204,6.497,6.584,6.134,6.238,6.255,6.394,6.463,6.117,6.463,6.186,6.238,6.325
360,7.92586,6.186,6.083,6.273,6.307,6.186,6.549,6.342,6.238,6.446,6.566,6.204,6.705,6.843,6.325,6.221,6.221,6.238,6.549,6.601,6.117,6.238,6.273,6.359,6.48,6.117,6.48,6.169,6.238,6.325
361,7.97194,6.152,6.083,6.255,6.325,6.221,6.549,6.342,6.238,6.428,6.584,6.204,6.722,6.826,6.325,6.221,6.221,6.204,6.515,6.584,6.117,6.29,6.255,6.394,6.463,6.152,6.463,6.152,6.238,6.307
362,7.9489,6.186,6.134,6.238,6.307,6.204,6.566,6.325,6.29,6.428,6.566,6.204,6.739,6.791,6.307,6.221,6.204,6.238,6.515,6.601,6.152,6.342,6.255,6.376,6.463,6.152,6.446,6.152,6.238,6.342
363,7.9489,6.152,6.152,6.29,6.307,6.186,6.532,6.342,6.273,6.446,6.601,6.221,6.687,6.808,6.325,6.221,6.204,6.204,6.532,6.601,6.134,6.325,6.29,6.376,6.463,6.134,6.497,6.134,6.238,6.325
364,7.97194,6.169,6.134,6.325,6.307,6.204,6.532,6.342,6.273,6.446,6.601,6.204,6.705,6.808,6.307,6.255,6.204,6.204,6.497,6.601,6.152,6.325,6.273,6.394,6.463,6.117,6.48,6.169,6.221,6.307
