 P_mean,P_max, P_min, P_rms, P_std_dev, P_skewness, P_crest_factor, P_form_factor,fault_type
73.73115942,93.9,39.2,74.71724623,12.14296108,-0.807280258,1.256737965,1.013374085,0
74.73188406,93.3,44.1,75.86316534,13.09995813,-0.75069887,1.229845862,1.015137866,0
75.99130435,94.6,35.1,76.94805042,12.14051838,-0.903678072,1.229400868,1.012590205,0
73.26956522,95.4,39,74.40402533,12.99048281,-0.693200527,1.282188693,1.015483374,0
73.84710145,93.9,39.2,74.9139637,12.64381325,-0.871815902,1.253437882,1.014446908,0
74.65942029,93.3,45,75.75813727,12.90242798,-0.670467842,1.231550872,1.014716388,0
77.07681159,94.6,35.1,78.02229522,12.15376719,-0.98086768,1.212473944,1.012266771,0
72.40507246,95.4,39,73.54067838,12.92078235,-0.754524269,1.297241229,1.015684066,0
74.53985507,93.9,39.2,75.56413103,12.44468368,-0.880010245,1.242653078,1.013741319,0
74.63550725,93.3,45,75.69628626,12.67410027,-0.71183067,1.232557165,1.014212793,0
76.51884058,94.6,35.1,77.50697397,12.38180058,-0.834671253,1.220535329,1.012913596,0
72.49637681,95.4,39,73.62853938,12.90909491,-0.782559383,1.29569323,1.015616816,0
74.16521739,93.9,39.2,75.23472256,12.68661949,-0.892209998,1.248093923,1.014420576,0
74.94637681,93.3,45,75.98913919,12.59121557,-0.715423752,1.227807039,1.013913446,0
76.42681159,94.6,35.1,77.40411319,12.3059569,-0.829543129,1.222157274,1.012787418,0
72.34492754,95.4,39,73.45886357,12.79068475,-0.746124322,1.298686031,1.015397569,0
74.46521739,93.9,39.2,75.57049401,12.92445005,-0.940490641,1.242548447,1.014842858,0
75.26449275,93.5,45,76.28903135,12.50623086,-0.643056916,1.225602139,1.013612509,0
76.18768116,94.6,35.1,77.18444172,12.40931751,-0.920887792,1.225635606,1.013082962,0
71.96594203,95.4,39,73.01866299,12.39929063,-0.75344786,1.306515295,1.014628044,0
74.66956522,93.9,39.2,75.8511672,13.38483513,-0.926705307,1.237950627,1.015824412,0
75.15942029,93.5,47,76.13753574,12.209262,-0.581714303,1.228040796,1.013013877,0
76.15942029,94.6,35.1,77.17544007,12.52710718,-1.019122001,1.225778563,1.013340697,0
71.56376812,95.4,39,72.66882792,12.67079487,-0.713953458,1.312804991,1.01544161,0
75.29565217,93.9,41.5,76.39593566,12.96618775,-0.90368103,1.229122979,1.014612842,0
75.07391304,93.5,47,76.03503769,12.09523224,-0.595785205,1.229696241,1.012802378,0
75.84710145,94.6,35.1,76.88741487,12.6511486,-0.986531474,1.230370408,1.013715928,0
71.78913043,95.4,39,72.88663174,12.64677152,-0.748086061,1.308881995,1.015287848,0
75.54855072,93.9,41.5,76.66863151,13.1049622,-0.868722964,1.22475122,1.014825973,0
74.62318841,93.5,35.1,75.66154232,12.53745507,-0.7706448,1.235766509,1.013914628,0
76.02028986,94.6,38.4,77.02590567,12.4510672,-0.920712275,1.22815823,1.013228256,0
71.9057971,95.4,39.2,72.91242712,12.11785657,-0.769459808,1.308418932,1.013999289,0
75.18188406,93.9,41.5,76.37524022,13.49747333,-0.821599957,1.229456035,1.015872922,0
74.84565217,93.5,35.1,75.82927573,12.21839656,-0.751777413,1.233033009,1.013142027,0
75.5326087,94.6,38.4,76.70297833,13.39673216,-0.957708617,1.233328901,1.015494892,0
72.33478261,95.4,39.2,73.19584311,11.23500559,-0.790198522,1.303352703,1.011903824,0
75.53550725,93.9,41.5,76.73218388,13.54788642,-0.845985635,1.223736837,1.015842571,0
74.60724638,93.5,35.1,75.58231428,12.14553258,-0.717427203,1.237061883,1.013069346,0
75.39565217,94.6,38.4,76.58459186,13.49126708,-0.95251542,1.235235414,1.01576934,0
73.0115942,95.4,39.2,73.88457312,11.36544303,-0.77532415,1.291203237,1.011956716,0
74.83985507,93.3,41.5,76.07161148,13.68367635,-0.767145727,1.226475924,1.016458562,0
75.51014493,93.5,35.1,76.43675609,11.90896301,-0.824521793,1.223233491,1.012271347,0
