TimeStamp,,,,TimeStamp,,,TimeStamp_45,Values_45
17:19:58.033 -> 62.5201.00,,,,19:58.0,->,,00:34.8,62.52
17:19:58.127 -> 60.6200.00,,,,19:58.1,->,,00:34.9,60.62
17:19:58.206 -> 58.6202.00,,,,19:58.2,->,,00:35.0,58.62
17:19:58.346 -> 62.5202.00,,,,19:58.3,->,,00:35.1,62.52
17:19:58.440 -> 62.5203.00,,,,19:58.4,->,,00:35.2,62.52
17:19:58.538 -> 64.5203.00,,,,19:58.5,->,,00:35.3,64.52
17:19:58.630 -> 64.5204.00,,,,19:58.6,->,,00:35.4,64.52
17:19:58.725 -> 66.4205.00,,,,19:58.7,->,,00:35.5,66.42
17:19:58.819 -> 68.4205.00,,,,19:58.8,->,,00:35.6,68.42
17:19:58.913 -> 68.4207.00,,,,19:58.9,->,,00:35.7,68.42
17:19:59.007 -> 72.3208.00,,,,19:59.0,->,,00:35.8,72.32
17:19:59.147 -> 74.3209.00,,,,19:59.1,->,,00:35.9,74.32
17:19:59.241 -> 76.2210.00,,,,19:59.2,->,,00:36.0,76.22
17:19:59.335 -> 78.2210.00,,,,19:59.3,->,,00:36.1,78.22
17:19:59.430 -> 78.2209.00,,,,19:59.4,->,,00:36.2,78.22
17:19:59.525 -> 76.2210.00,,,,19:59.5,->,,00:36.3,76.22
17:19:59.622 -> 78.2210.00,,,,19:59.6,->,,00:36.4,78.22
17:19:59.764 -> 78.2210.00,,,,19:59.8,->,,00:36.5,78.22
17:19:59.859 -> 78.2211.00,,,,19:59.9,->,,00:36.6,78.22
17:19:59.953 -> 80.1210.00,,,,20:00.0,->,,00:36.7,80.12
17:20:00.048 -> 78.2210.00,,,,20:00.0,->,,00:36.8,78.22
17:20:00.143 -> 78.2210.00,,,,20:00.1,->,,00:36.9,78.22
17:20:00.237 -> 78.2210.00,,,,20:00.2,->,,00:37.0,78.22
17:20:00.331 -> 78.2210.00,,,,20:00.3,->,,00:37.1,78.22
17:20:00.425 -> 78.2210.00,,,,20:00.4,->,,00:37.2,78.22
17:20:00.567 -> 78.2210.00,,,,20:00.6,->,,00:37.3,78.22
17:20:00.661 -> 78.2210.00,,,,20:00.7,->,,00:37.4,78.22
17:20:00.756 -> 78.2210.00,,,,20:00.8,->,,00:37.5,78.22
17:20:00.850 -> 78.2209.00,,,,20:00.9,->,,00:37.6,78.22
17:20:00.944 -> 76.2208.00,,,,20:00.9,->,,00:37.7,76.22
17:20:01.037 -> 74.3209.00,,,,20:01.0,->,,00:37.8,74.32
17:20:01.178 -> 76.2210.00,,,,20:01.2,->,,00:37.9,76.22
17:20:01.272 -> 78.2210.00,,,,20:01.3,->,,00:38.0,78.22
17:20:01.366 -> 78.2210.00,,,,20:01.4,->,,00:38.1,78.22
17:20:01.459 -> 78.2210.00,,,,20:01.5,->,,00:38.2,78.22
17:20:01.557 -> 78.2209.00,,,,20:01.6,->,,00:38.3,78.22
17:20:01.649 -> 76.2210.00,,,,20:01.6,->,,00:38.4,76.22
17:20:01.745 -> 78.2210.00,,,,20:01.7,->,,00:38.5,78.22
17:20:01.838 -> 78.2209.00,,,,20:01.8,->,,00:38.6,78.22
17:20:01.979 -> 76.2208.00,,,,20:02.0,->,,00:38.7,76.22
17:20:02.073 -> 74.3209.00,,,,20:02.1,->,,00:38.8,74.32
17:20:02.167 -> 76.2209.00,,,,20:02.2,->,,00:38.9,76.22
17:20:02.260 -> 76.2209.00,,,,20:02.3,->,,00:39.0,76.22
17:20:02.354 -> 76.2208.00,,,,20:02.4,->,,00:39.1,76.22
17:20:02.448 -> 74.3209.00,,,,20:02.4,->,,00:39.2,74.32
17:20:02.575 -> 76.2208.00,,,,20:02.6,->,,00:39.3,76.22
17:20:02.654 -> 74.3208.00,,,,20:02.7,->,,00:39.4,74.32
17:20:02.795 -> 74.3208.00,,,,20:02.8,->,,00:39.5,74.32
17:20:02.890 -> 74.3208.00,,,,20:02.9,->,,00:39.6,74.32
17:20:02.985 -> 74.3209.00,,,,20:03.0,->,,00:39.7,74.32
17:20:03.080 -> 76.2209.00,,,,20:03.1,->,,00:39.8,76.22
17:20:03.175 -> 76.2209.00,,,,20:03.2,->,,00:39.9,76.22
17:20:03.269 -> 76.2209.00,,,,20:03.3,->,,00:40.0,76.22
17:20:03.364 -> 76.2209.00,,,,20:03.4,->,,00:40.1,76.22
17:20:03.458 -> 76.2209.00,,,,20:03.5,->,,00:40.2,76.22
17:20:03.601 -> 76.2210.00,,,,20:03.6,->,,00:40.3,76.22
17:20:03.696 -> 78.2210.00,,,,20:03.7,->,,00:40.4,78.22
17:20:03.791 -> 78.2210.00,,,,20:03.8,->,,00:40.5,78.22
17:20:03.887 -> 78.2209.00,,,,20:03.9,->,,00:40.6,78.22
17:20:03.982 -> 76.2209.00,,,,20:04.0,->,,00:40.7,76.22
17:20:04.076 -> 76.2208.00,,,,20:04.1,->,,00:40.8,76.22
17:20:04.171 -> 74.3209.00,,,,20:04.2,->,,00:40.9,74.32
17:20:04.266 -> 76.2209.00,,,,20:04.3,->,,00:41.0,76.22
17:20:04.361 -> 76.2210.00,,,,20:04.4,->,,00:41.1,76.22
17:20:04.504 -> 78.2209.00,,,,20:04.5,->,,00:41.2,78.22
17:20:04.598 -> 76.2209.00,,,,20:04.6,->,,00:41.3,76.22
17:20:04.692 -> 76.2209.00,,,,20:04.7,->,,00:41.4,76.22
17:20:04.789 -> 76.2209.00,,,,20:04.8,->,,00:41.5,76.22
17:20:04.882 -> 76.2209.00,,,,20:04.9,->,,00:41.6,76.22
17:20:04.978 -> 76.2210.00,,,,20:05.0,->,,00:41.7,76.22
17:20:05.106 -> 78.2209.00,,,,20:05.1,->,,00:41.8,78.22
17:20:05.200 -> 76.2209.00,,,,20:05.2,->,,00:41.9,76.22
17:20:05.295 -> 76.2210.00,,,,20:05.3,->,,00:42.0,76.22
17:20:05.390 -> 78.2210.00,,,,20:05.4,->,,00:42.1,78.22
17:20:05.485 -> 78.2209.00,,,,20:05.5,->,,00:42.2,78.22
17:20:05.579 -> 76.2210.00,,,,20:05.6,->,,00:42.3,76.22
17:20:05.721 -> 78.2209.00,,,,20:05.7,->,,00:42.4,78.22
17:20:05.817 -> 76.2209.00,,,,20:05.8,->,,00:42.5,76.22
17:20:05.912 -> 76.2207.00,,,,20:05.9,->,,00:42.6,76.22
17:20:06.007 -> 72.3207.00,,,,20:06.0,->,,00:42.7,72.32
17:20:06.087 -> 72.3208.00,,,,20:06.1,->,,00:42.8,72.32
17:20:06.182 -> 74.3208.00,,,,20:06.2,->,,00:42.9,74.32
17:20:06.323 -> 74.3209.00,,,,20:06.3,->,,00:43.0,74.32
17:20:06.419 -> 76.2209.00,,,,20:06.4,->,,00:43.1,76.22
17:20:06.514 -> 76.2209.00,,,,20:06.5,->,,00:43.2,76.22
17:20:06.610 -> 76.2209.00,,,,20:06.6,->,,00:43.3,76.22
17:20:06.704 -> 76.2209.00,,,,20:06.7,->,,00:43.4,76.22
17:20:06.799 -> 76.2207.00,,,,20:06.8,->,,00:43.5,76.22
17:20:06.894 -> 72.3205.00,,,,20:06.9,->,,00:43.6,72.32
17:20:07.027 -> 68.4203.00,,,,20:07.0,->,,00:43.7,68.42
17:20:07.118 -> 64.5201.00,,,,20:07.1,->,,00:43.8,64.52
17:20:07.211 -> 60.6202.00,,,,20:07.2,->,,00:43.9,60.62
17:20:07.306 -> 62.5206.00,,,,20:07.3,->,,00:44.0,62.52
17:20:07.400 -> 70.3207.00,,,,20:07.4,->,,00:44.1,70.32
17:20:07.496 -> 72.3208.00,,,,20:07.5,->,,00:44.2,72.32
17:20:07.638 -> 74.3208.00,,,,20:07.6,->,,00:44.3,74.32
17:20:07.717 -> 74.3209.00,,,,20:07.7,->,,00:44.4,74.32
17:20:07.812 -> 76.2210.00,,,,20:07.8,->,,00:44.5,76.22
17:20:07.906 -> 78.2210.00,,,,20:07.9,->,,00:44.6,78.22
17:20:08.048 -> 78.2210.00,,,,20:08.0,->,,00:44.7,78.22
17:20:08.143 -> 78.2211.00,,,,20:08.1,->,,00:44.8,78.22
17:20:08.223 -> 80.1210.00,,,,20:08.2,->,,00:44.9,80.12
17:20:08.318 -> 78.2210.00,,,,20:08.3,->,,00:45.0,78.22
17:20:08.412 -> 78.2211.00,,,,20:08.4,->,,00:45.1,78.22
17:20:08.506 -> 80.1209.00,,,,20:08.5,->,,00:45.2,80.12
17:20:08.649 -> 76.2208.00,,,,20:08.6,->,,00:45.3,76.22
17:20:08.743 -> 74.3207.00,,,,20:08.7,->,,00:45.4,74.32
17:20:08.837 -> 72.3206.00,,,,20:08.8,->,,00:45.5,72.32
17:20:08.933 -> 70.3205.00,,,,20:08.9,->,,00:45.6,70.32
17:20:09.027 -> 68.4207.00,,,,20:09.0,->,,00:45.7,68.42
17:20:09.122 -> 72.3208.00,,,,20:09.1,->,,00:45.8,72.32
17:20:09.218 -> 74.3209.00,,,,20:09.2,->,,00:45.9,74.32
17:20:09.359 -> 76.2210.00,,,,20:09.4,->,,00:46.0,76.22
17:20:09.452 -> 78.2209.00,,,,20:09.5,->,,00:46.1,78.22
17:20:09.546 -> 76.2210.00,,,,20:09.5,->,,00:46.2,76.22
17:20:09.640 -> 78.2210.00,,,,20:09.6,->,,00:46.3,78.22
17:20:09.735 -> 78.2209.00,,,,20:09.7,->,,00:46.4,78.22
17:20:09.829 -> 76.2210.00,,,,20:09.8,->,,00:46.5,76.22
17:20:09.923 -> 78.2209.00,,,,20:09.9,->,,00:46.6,78.22
17:20:10.064 -> 76.2209.00,,,,20:10.1,->,,00:46.7,76.22
17:20:10.157 -> 76.2208.00,,,,20:10.2,->,,00:46.8,76.22
17:20:10.251 -> 74.3208.00,,,,20:10.3,->,,00:46.9,74.32
17:20:10.345 -> 74.3208.00,,,,20:10.3,->,,00:47.0,74.32
17:20:10.439 -> 74.3207.00,,,,20:10.4,->,,00:47.1,74.32
17:20:10.533 -> 72.3206.00,,,,20:10.5,->,,00:47.2,72.32
17:20:10.629 -> 70.3207.00,,,,20:10.6,->,,00:47.3,70.32
17:20:10.770 -> 72.3208.00,,,,20:10.8,->,,00:47.4,72.32
17:20:10.863 -> 74.3209.00,,,,20:10.9,->,,00:47.5,74.32
17:20:10.957 -> 76.2210.00,,,,20:11.0,->,,00:47.6,76.22
17:20:11.050 -> 78.2210.00,,,,20:11.1,->,,00:47.7,78.22
17:20:11.145 -> 78.2211.00,,,,20:11.1,->,,00:47.8,78.22
17:20:11.238 -> 80.1210.00,,,,20:11.2,->,,00:47.9,80.12
17:20:11.332 -> 78.2210.00,,,,20:11.3,->,,00:48.0,78.22
17:20:11.473 -> 78.2209.00,,,,20:11.5,->,,00:48.1,78.22
17:20:11.568 -> 76.2209.00,,,,20:11.6,->,,00:48.2,76.22
17:20:11.663 -> 76.2210.00,,,,20:11.7,->,,00:48.3,76.22
17:20:11.758 -> 78.2209.00,,,,20:11.8,->,,00:48.4,78.22
17:20:11.853 -> 76.2208.00,,,,20:11.9,->,,00:48.5,76.22
17:20:11.946 -> 74.3209.00,,,,20:11.9,->,,00:48.6,74.32
17:20:12.040 -> 76.2208.00,,,,20:12.0,->,,00:48.7,76.22
17:20:12.181 -> 74.3208.00,,,,20:12.2,->,,00:48.8,74.32
17:20:12.275 -> 74.3209.00,,,,20:12.3,->,,00:48.9,74.32
17:20:12.370 -> 76.2209.00,,,,20:12.4,->,,00:49.0,76.22
17:20:12.463 -> 76.2209.00,,,,20:12.5,->,,00:49.1,76.22
17:20:12.557 -> 76.2209.00,,,,20:12.6,->,,00:49.2,76.22
17:20:12.651 -> 76.2210.00,,,,20:12.7,->,,00:49.3,76.22
17:20:12.792 -> 78.2208.00,,,,20:12.8,->,,00:49.4,78.22
17:20:12.886 -> 74.3208.00,,,,20:12.9,->,,00:49.5,74.32
17:20:12.979 -> 74.3209.00,,,,20:13.0,->,,00:49.6,74.32
17:20:13.073 -> 76.2210.00,,,,20:13.1,->,,00:49.7,76.22
17:20:13.167 -> 78.2209.00,,,,20:13.2,->,,00:49.8,78.22
17:20:13.260 -> 76.2210.00,,,,20:13.3,->,,00:49.9,76.22
17:20:13.354 -> 78.2210.00,,,,20:13.4,->,,00:50.0,78.22
17:20:13.495 -> 78.2210.00,,,,20:13.5,->,,00:50.1,78.22
17:20:13.589 -> 78.2211.00,,,,20:13.6,->,,00:50.2,78.22
17:20:13.687 -> 80.1211.00,,,,20:13.7,->,,00:50.3,80.12
17:20:13.777 -> 80.1210.00,,,,20:13.8,->,,00:50.4,80.12
17:20:13.873 -> 78.2210.00,,,,20:13.9,->,,00:50.5,78.22
17:20:13.968 -> 78.2210.00,,,,20:14.0,->,,00:50.6,78.22
17:20:14.065 -> 78.2209.00,,,,20:14.1,->,,00:50.7,78.22
17:20:14.208 -> 76.2210.00,,,,20:14.2,->,,00:50.8,76.22
17:20:14.302 -> 78.2210.00,,,,20:14.3,->,,00:50.9,78.22
17:20:14.395 -> 78.2210.00,,,,20:14.4,->,,00:51.0,78.22
17:20:14.489 -> 78.2209.00,,,,20:14.5,->,,00:51.1,78.22
17:20:14.583 -> 76.2209.00,,,,20:14.6,->,,00:51.2,76.22
17:20:14.678 -> 76.2207.00,,,,20:14.7,->,,00:51.3,76.22
17:20:14.773 -> 72.3206.00,,,,20:14.8,->,,00:51.4,72.32
17:20:14.869 -> 70.3203.00,,,,20:14.9,->,,00:51.5,70.32
17:20:14.996 -> 64.5202.00,,,,20:15.0,->,,00:51.6,64.52
17:20:15.092 -> 62.5199.00,,,,20:15.1,->,,00:51.7,62.51
17:20:15.186 -> 56.7198.00,,,,20:15.2,->,,00:51.8,56.71
17:20:15.280 -> 54.7199.00,,,,20:15.3,->,,00:51.9,54.71
17:20:15.375 -> 56.7202.00,,,,20:15.4,->,,00:52.0,56.72
17:20:15.503 -> 62.5204.00,,,,20:15.5,->,,00:52.1,62.52
17:20:15.599 -> 66.4206.00,,,,20:15.6,->,,00:52.2,66.42
17:20:15.693 -> 70.3209.00,,,,20:15.7,->,,00:52.3,70.32
17:20:15.788 -> 76.2209.00,,,,20:15.8,->,,00:52.4,76.22
17:20:15.883 -> 76.2210.00,,,,20:15.9,->,,00:52.5,76.22
17:20:16.025 -> 78.2210.00,,,,20:16.0,->,,00:52.6,78.22
17:20:16.120 -> 78.2211.00,,,,20:16.1,->,,00:52.7,78.22
17:20:16.214 -> 80.1212.00,,,,20:16.2,->,,00:52.8,80.12
17:20:16.308 -> 82.1210.00,,,,20:16.3,->,,00:52.9,82.12
17:20:16.403 -> 78.2211.00,,,,20:16.4,->,,00:53.0,78.22
17:20:16.498 -> 80.1211.00,,,,20:16.5,->,,00:53.1,80.12
17:20:16.592 -> 80.1211.00,,,,20:16.6,->,,00:53.2,80.12
17:20:16.687 -> 80.1210.00,,,,20:16.7,->,,00:53.3,80.12
17:20:16.829 -> 78.2210.00,,,,20:16.8,->,,00:53.4,78.22
17:20:16.924 -> 78.2210.00,,,,20:16.9,->,,00:53.5,78.22
17:20:17.019 -> 78.2210.00,,,,20:17.0,->,,00:53.6,78.22
17:20:17.099 -> 78.2210.00,,,,20:17.1,->,,00:53.7,78.22
17:20:17.194 -> 78.2210.00,,,,20:17.2,->,,00:53.8,78.22
17:20:17.289 -> 78.2210.00,,,,20:17.3,->,,00:53.9,78.22
17:20:17.431 -> 78.2209.00,,,,20:17.4,->,,00:54.0,78.22
17:20:17.526 -> 76.2209.00,,,,20:17.5,->,,00:54.1,76.22
17:20:17.621 -> 76.2210.00,,,,20:17.6,->,,00:54.2,76.22
17:20:17.716 -> 78.2210.00,,,,20:17.7,->,,00:54.3,78.22
17:20:17.811 -> 78.2210.00,,,,20:17.8,->,,00:54.4,78.22
17:20:17.905 -> 78.2209.00,,,,20:17.9,->,,00:54.5,78.22
17:20:18.031 -> 76.2210.00,,,,20:18.0,->,,00:54.6,76.22
17:20:18.126 -> 78.2209.00,,,,20:18.1,->,,00:54.7,78.22
17:20:18.220 -> 76.2209.00,,,,20:18.2,->,,00:54.8,76.22
17:20:18.316 -> 76.2209.00,,,,20:18.3,->,,00:54.9,76.22
17:20:18.410 -> 76.2209.00,,,,20:18.4,->,,00:55.0,76.22
17:20:18.505 -> 76.2210.00,,,,20:18.5,->,,00:55.1,76.22
17:20:18.647 -> 78.2210.00,,,,20:18.6,->,,00:55.2,78.22
17:20:18.742 -> 78.2211.00,,,,20:18.7,->,,00:55.3,78.22
17:20:18.836 -> 80.1211.00,,,,20:18.8,->,,00:55.4,80.12
17:20:18.931 -> 80.1210.00,,,,20:18.9,->,,00:55.5,80.12
17:20:19.027 -> 78.2211.00,,,,20:19.0,->,,00:55.6,78.22
17:20:19.122 -> 80.1211.00,,,,20:19.1,->,,00:55.7,80.12
17:20:19.217 -> 80.1211.00,,,,20:19.2,->,,00:55.8,80.12
17:20:19.312 -> 80.1210.00,,,,20:19.3,->,,00:55.9,80.12
17:20:19.454 -> 78.2210.00,,,,20:19.5,->,,00:56.0,78.22
17:20:19.547 -> 78.2210.00,,,,20:19.5,->,,00:56.1,78.22
17:20:19.642 -> 78.2210.00,,,,20:19.6,->,,00:56.2,78.22
17:20:19.744 -> 78.2210.00,,,,20:19.7,->,,00:56.3,78.22
17:20:19.831 -> 78.2210.00,,,,20:19.8,->,,00:56.4,78.22
17:20:19.926 -> 78.2209.00,,,,20:19.9,->,,00:56.5,78.22
17:20:20.020 -> 76.2210.00,,,,20:20.0,->,,00:56.6,76.22
17:20:20.161 -> 78.2210.00,,,,20:20.2,->,,00:56.7,78.22
17:20:20.256 -> 78.2210.00,,,,20:20.3,->,,00:56.8,78.22
17:20:20.350 -> 78.2209.00,,,,20:20.3,->,,00:56.9,78.22
17:20:20.430 -> 76.2210.00,,,,20:20.4,->,,00:57.0,76.22
17:20:20.541 -> 78.2210.00,,,,20:20.5,->,,00:57.1,78.22
17:20:20.638 -> 78.2209.00,,,,20:20.6,->,,00:57.2,78.22
17:20:20.732 -> 76.2209.00,,,,20:20.7,->,,00:57.3,76.22
17:20:20.827 -> 76.2209.00,,,,20:20.8,->,,00:57.4,76.22
17:20:20.968 -> 76.2209.00,,,,20:21.0,->,,00:57.5,76.22
17:20:21.062 -> 76.2209.00,,,,20:21.1,->,,00:57.6,76.22
17:20:21.158 -> 76.2209.00,,,,20:21.2,->,,00:57.7,76.22
17:20:21.252 -> 76.2210.00,,,,20:21.3,->,,00:57.8,76.22
17:20:21.351 -> 78.2209.00,,,,20:21.4,->,,00:57.9,78.22
17:20:21.443 -> 76.2208.00,,,,20:21.4,->,,00:58.0,76.22
17:20:21.536 -> 74.3208.00,,,,20:21.5,->,,00:58.1,74.32
17:20:21.681 -> 74.3206.00,,,,20:21.7,->,,00:58.2,74.32
17:20:21.773 -> 70.3207.00,,,,20:21.8,->,,00:58.3,70.32
17:20:21.867 -> 72.3208.00,,,,20:21.9,->,,00:58.4,72.32
17:20:21.961 -> 74.3210.00,,,,20:22.0,->,,00:58.5,74.32
17:20:22.055 -> 78.2210.00,,,,20:22.1,->,,00:58.6,78.22
17:20:22.181 -> 78.2210.00,,,,20:22.2,->,,00:58.7,78.22
17:20:22.276 -> 78.2209.00,,,,20:22.3,->,,00:58.8,78.22
17:20:22.370 -> 76.2209.00,,,,20:22.4,->,,00:58.9,76.22
17:20:22.464 -> 76.2207.00,,,,20:22.5,->,,00:59.0,76.22
17:20:22.558 -> 72.3207.00,,,,20:22.6,->,,00:59.1,72.32
17:20:22.651 -> 72.3207.00,,,,20:22.7,->,,00:59.2,72.32
17:20:22.792 -> 72.3207.00,,,,20:22.8,->,,00:59.3,72.32
17:20:22.887 -> 72.3208.00,,,,20:22.9,->,,00:59.4,72.32
17:20:22.982 -> 74.3209.00,,,,20:23.0,->,,00:59.5,74.32
17:20:23.076 -> 76.2209.00,,,,20:23.1,->,,00:59.6,76.22
17:20:23.170 -> 76.2210.00,,,,20:23.2,->,,00:59.7,76.22
17:20:23.264 -> 78.2210.00,,,,20:23.3,->,,00:59.8,78.22
17:20:23.359 -> 78.2210.00,,,,20:23.4,->,,00:59.9,78.22
17:20:23.454 -> 78.2210.00,,,,20:23.5,->,,01:00.0,78.22
17:20:23.595 -> 78.2210.00,,,,20:23.6,->,,01:00.1,78.22
17:20:23.691 -> 78.2209.00,,,,20:23.7,->,,01:00.2,78.22
17:20:23.785 -> 76.2209.00,,,,20:23.8,->,,01:00.3,76.22
17:20:23.881 -> 76.2210.00,,,,20:23.9,->,,01:00.4,76.22
17:20:23.976 -> 78.2210.00,,,,20:24.0,->,,01:00.5,78.22
17:20:24.071 -> 78.2210.00,,,,20:24.1,->,,01:00.6,78.22
17:20:24.164 -> 78.2211.00,,,,20:24.2,->,,01:00.7,78.22
17:20:24.258 -> 80.1210.00,,,,20:24.3,->,,01:00.8,80.12
17:20:24.385 -> 78.2210.00,,,,20:24.4,->,,01:00.9,78.22
17:20:24.480 -> 78.2211.00,,,,20:24.5,->,,01:01.0,78.22
17:20:24.575 -> 80.1211.00,,,,20:24.6,->,,01:01.1,80.12
17:20:24.669 -> 80.1212.00,,,,20:24.7,->,,01:01.2,80.12
17:20:24.810 -> 82.1211.00,,,,20:24.8,->,,01:01.3,82.12
17:20:24.904 -> 80.1211.00,,,,20:24.9,->,,01:01.4,80.12
17:20:24.999 -> 80.1210.00,,,,20:25.0,->,,01:01.5,80.12
17:20:25.094 -> 78.2209.00,,,,20:25.1,->,,01:01.6,78.22
17:20:25.190 -> 76.2210.00,,,,20:25.2,->,,01:01.7,76.22
17:20:25.286 -> 78.2210.00,,,,20:25.3,->,,01:01.8,78.22
17:20:25.380 -> 78.2209.00,,,,20:25.4,->,,01:01.9,78.22
17:20:25.474 -> 76.2210.00,,,,20:25.5,->,,01:02.0,76.22
17:20:25.615 -> 78.2210.00,,,,20:25.6,->,,01:02.1,78.22
17:20:25.708 -> 78.2210.00,,,,20:25.7,->,,01:02.2,78.22
17:20:25.803 -> 78.2209.00,,,,20:25.8,->,,01:02.3,78.22
17:20:25.912 -> 76.2210.00,,,,20:25.9,->,,01:02.4,76.22
17:20:26.007 -> 78.2209.00,,,,20:26.0,->,,01:02.5,78.22
17:20:26.087 -> 76.2210.00,,,,20:26.1,->,,01:02.6,76.22
17:20:26.182 -> 78.2210.00,,,,20:26.2,->,,01:02.7,78.22
17:20:26.323 -> 78.2210.00,,,,20:26.3,->,,01:02.8,78.22
17:20:26.417 -> 78.2210.00,,,,20:26.4,->,,01:02.9,78.22
17:20:26.510 -> 78.2209.00,,,,20:26.5,->,,01:03.0,78.22
17:20:26.604 -> 76.2210.00,,,,20:26.6,->,,01:03.1,76.22
17:20:26.698 -> 78.2210.00,,,,20:26.7,->,,01:03.2,78.22
17:20:26.792 -> 78.2210.00,,,,20:26.8,->,,01:03.3,78.22
17:20:26.933 -> 78.2210.00,,,,20:26.9,->,,01:03.4,78.22
17:20:27.029 -> 78.2211.00,,,,20:27.0,->,,01:03.5,78.22
17:20:27.122 -> 80.1210.00,,,,20:27.1,->,,01:03.6,80.12
17:20:27.216 -> 78.2210.00,,,,20:27.2,->,,01:03.7,78.22
17:20:27.310 -> 78.2210.00,,,,20:27.3,->,,01:03.8,78.22
17:20:27.404 -> 78.2211.00,,,,20:27.4,->,,01:03.9,78.22
17:20:27.497 -> 80.1210.00,,,,20:27.5,->,,01:04.0,80.12
17:20:27.591 -> 78.2210.00,,,,20:27.6,->,,01:04.1,78.22
17:20:27.732 -> 78.2210.00,,,,20:27.7,->,,01:04.2,78.22
17:20:27.828 -> 78.2209.00,,,,20:27.8,->,,01:04.3,78.22
17:20:27.923 -> 76.2210.00,,,,20:27.9,->,,01:04.4,76.22
17:20:28.019 -> 78.2210.00,,,,20:28.0,->,,01:04.5,78.22
17:20:28.113 -> 78.2210.00,,,,20:28.1,->,,01:04.6,78.22
17:20:28.209 -> 78.2209.00,,,,20:28.2,->,,01:04.7,78.22
17:20:28.302 -> 76.2209.00,,,,20:28.3,->,,01:04.8,76.22
17:20:28.443 -> 76.2209.00,,,,20:28.4,->,,01:04.9,76.22
17:20:28.538 -> 76.2209.00,,,,20:28.5,->,,01:05.0,76.22
17:20:28.634 -> 76.2208.00,,,,20:28.6,->,,01:05.1,76.22
17:20:28.728 -> 74.3208.00,,,,20:28.7,->,,01:05.2,74.32
17:20:28.822 -> 74.3205.00,,,,20:28.8,->,,01:05.3,74.32
17:20:28.916 -> 68.4204.00,,,,20:28.9,->,,01:05.4,68.42
17:20:29.010 -> 66.4205.00,,,,20:29.0,->,,01:05.5,66.42
17:20:29.150 -> 68.4205.00,,,,20:29.2,->,,01:05.6,68.42
17:20:29.244 -> 68.4207.00,,,,20:29.2,->,,01:05.7,68.42
17:20:29.338 -> 72.3207.00,,,,20:29.3,->,,01:05.8,72.32
17:20:29.432 -> 72.3207.00,,,,20:29.4,->,,01:05.9,72.32
17:20:29.525 -> 72.3209.00,,,,20:29.5,->,,01:06.0,72.32
17:20:29.619 -> 76.2210.00,,,,20:29.6,->,,01:06.1,76.22
17:20:29.760 -> 78.2210.00,,,,20:29.8,->,,01:06.2,78.22
17:20:29.854 -> 78.2210.00,,,,20:29.9,->,,01:06.3,78.22
17:20:29.947 -> 78.2211.00,,,,20:29.9,->,,01:06.4,78.22
17:20:30.041 -> 80.1211.00,,,,20:30.0,->,,01:06.5,80.12
17:20:30.135 -> 80.1211.00,,,,20:30.1,->,,01:06.6,80.12
17:20:30.229 -> 80.1211.00,,,,20:30.2,->,,01:06.7,80.12
17:20:30.325 -> 80.1210.00,,,,20:30.3,->,,01:06.8,80.12
17:20:30.467 -> 78.2211.00,,,,20:30.5,->,,01:06.9,78.22
17:20:30.564 -> 80.1210.00,,,,20:30.6,->,,01:07.0,80.12
17:20:30.657 -> 78.2210.00,,,,20:30.7,->,,01:07.1,78.22
17:20:30.751 -> 78.2210.00,,,,20:30.8,->,,01:07.2,78.22
17:20:30.845 -> 78.2210.00,,,,20:30.8,->,,01:07.3,78.22
17:20:30.940 -> 78.2210.00,,,,20:30.9,->,,01:07.4,78.22
17:20:31.067 -> 78.2210.00,,,,20:31.1,->,,01:07.5,78.22
17:20:31.162 -> 78.2210.00,,,,20:31.2,->,,01:07.6,78.22
17:20:31.257 -> 78.2211.00,,,,20:31.3,->,,01:07.7,78.22
17:20:31.352 -> 80.1211.00,,,,20:31.4,->,,01:07.8,80.12
17:20:31.447 -> 80.1210.00,,,,20:31.4,->,,01:07.9,80.12
17:20:31.542 -> 78.2210.00,,,,20:31.5,->,,01:08.0,78.22
17:20:31.637 -> 78.2210.00,,,,20:31.6,->,,01:08.1,78.22
17:20:31.779 -> 78.2210.00,,,,20:31.8,->,,01:08.2,78.22
17:20:31.874 -> 78.2209.00,,,,20:31.9,->,,01:08.3,78.22
17:20:31.969 -> 76.2209.00,,,,20:32.0,->,,01:08.4,76.22
17:20:32.064 -> 76.2209.00,,,,20:32.1,->,,01:08.5,76.22
17:20:32.160 -> 76.2208.00,,,,20:32.2,->,,01:08.6,76.22
17:20:32.254 -> 74.3208.00,,,,20:32.3,->,,01:08.7,74.32
17:20:32.349 -> 74.3209.00,,,,20:32.3,->,,01:08.8,74.32
17:20:32.444 -> 76.2209.00,,,,20:32.4,->,,01:08.9,76.22
17:20:32.571 -> 76.2210.00,,,,20:32.6,->,,01:09.0,76.22
17:20:32.666 -> 78.2209.00,,,,20:32.7,->,,01:09.1,78.22
17:20:32.762 -> 76.2209.00,,,,20:32.8,->,,01:09.2,76.22
17:20:32.857 -> 76.2209.00,,,,20:32.9,->,,01:09.3,76.22
17:20:32.954 -> 76.2210.00,,,,20:33.0,->,,01:09.4,76.22
17:20:33.047 -> 78.2210.00,,,,20:33.0,->,,01:09.5,78.22
17:20:33.173 -> 78.2210.00,,,,20:33.2,->,,01:09.6,78.22
