TimeStamp,,,,TimeStamp,,,TimeStamp_45,Values_45
17:19:28.551 -> 78.2210.00,,,,19:28.6,->,,00:05.6,78.22
17:19:28.646 -> 78.2210.00,,,,19:28.6,->,,00:05.7,78.22
17:19:28.740 -> 78.2209.00,,,,19:28.7,->,,00:05.8,78.22
17:19:28.834 -> 76.2210.00,,,,19:28.8,->,,00:05.9,76.22
17:19:28.928 -> 78.2211.00,,,,19:28.9,->,,00:06.0,78.22
17:19:29.021 -> 80.1210.00,,,,19:29.0,->,,00:06.1,80.12
17:19:29.162 -> 78.2211.00,,,,19:29.2,->,,00:06.2,78.22
17:19:29.256 -> 80.1211.00,,,,19:29.3,->,,00:06.3,80.12
17:19:29.351 -> 80.1210.00,,,,19:29.4,->,,00:06.4,80.12
17:19:29.446 -> 78.2210.00,,,,19:29.4,->,,00:06.5,78.22
17:19:29.539 -> 78.2210.00,,,,19:29.5,->,,00:06.6,78.22
17:19:29.633 -> 78.2209.00,,,,19:29.6,->,,00:06.7,78.22
17:19:29.727 -> 76.2207.00,,,,19:29.7,->,,00:06.8,76.22
17:19:29.869 -> 72.3207.00,,,,19:29.9,->,,00:06.9,72.32
17:19:29.963 -> 72.3208.00,,,,19:30.0,->,,00:07.0,72.32
17:19:30.056 -> 74.3208.00,,,,19:30.1,->,,00:07.1,74.32
17:19:30.150 -> 74.3208.00,,,,19:30.2,->,,00:07.2,74.32
17:19:30.239 -> 74.3206.00,,,,19:30.2,->,,00:07.3,74.32
17:19:30.372 -> 70.3205.00,,,,19:30.4,->,,00:07.4,70.32
17:19:30.467 -> 68.4205.00,,,,19:30.5,->,,00:07.5,68.42
17:19:30.561 -> 68.4205.00,,,,19:30.6,->,,00:07.6,68.42
17:19:30.656 -> 68.4205.00,,,,19:30.7,->,,00:07.7,68.42
17:19:30.752 -> 68.4205.00,,,,19:30.8,->,,00:07.8,68.42
17:19:30.846 -> 68.4204.00,,,,19:30.8,->,,00:07.9,68.42
17:19:30.942 -> 66.4205.00,,,,19:30.9,->,,00:08.0,66.42
17:19:31.084 -> 68.4207.00,,,,19:31.1,->,,00:08.1,68.42
17:19:31.178 -> 72.3208.00,,,,19:31.2,->,,00:08.2,72.32
17:19:31.258 -> 74.3208.00,,,,19:31.3,->,,00:08.3,74.32
17:19:31.354 -> 74.3208.00,,,,19:31.4,->,,00:08.4,74.32
17:19:31.448 -> 74.3209.00,,,,19:31.4,->,,00:08.5,74.32
17:19:31.591 -> 76.2209.00,,,,19:31.6,->,,00:08.6,76.22
17:19:31.685 -> 76.2209.00,,,,19:31.7,->,,00:08.7,76.22
17:19:31.780 -> 76.2209.00,,,,19:31.8,->,,00:08.8,76.22
17:19:31.875 -> 76.2209.00,,,,19:31.9,->,,00:08.9,76.22
17:19:31.970 -> 76.2209.00,,,,19:32.0,->,,00:09.0,76.22
17:19:32.066 -> 76.2208.00,,,,19:32.1,->,,00:09.1,76.22
17:19:32.162 -> 74.3208.00,,,,19:32.2,->,,00:09.2,74.32
17:19:32.257 -> 74.3209.00,,,,19:32.3,->,,00:09.3,74.32
17:19:32.400 -> 76.2209.00,,,,19:32.4,->,,00:09.4,76.22
17:19:32.494 -> 76.2208.00,,,,19:32.5,->,,00:09.5,76.22
17:19:32.589 -> 74.3207.00,,,,19:32.6,->,,00:09.6,74.32
17:19:32.683 -> 72.3207.00,,,,19:32.7,->,,00:09.7,72.32
17:19:32.777 -> 72.3206.00,,,,19:32.8,->,,00:09.8,72.32
17:19:32.871 -> 70.3204.00,,,,19:32.9,->,,00:09.9,70.32
17:19:32.966 -> 66.4204.00,,,,19:33.0,->,,00:10.0,66.42
17:19:33.059 -> 66.4205.00,,,,19:33.1,->,,00:10.1,66.42
17:19:33.199 -> 68.4205.00,,,,19:33.2,->,,00:10.2,68.42
17:19:33.293 -> 68.4205.00,,,,19:33.3,->,,00:10.3,68.42
17:19:33.387 -> 68.4207.00,,,,19:33.4,->,,00:10.4,68.42
17:19:33.481 -> 72.3206.00,,,,19:33.5,->,,00:10.5,72.32
17:19:33.576 -> 70.3205.00,,,,19:33.6,->,,00:10.6,70.32
17:19:33.669 -> 68.4205.00,,,,19:33.7,->,,00:10.7,68.42
