TimeStamp,Unit,,,TimeStamp,,Values_N,,TimeStamp,TimeStamp_N
14:19:21.089 -> -1.9,kPa,,,19:21.1,->,-1.9,,00:02.4,00:02.4
14:19:21.210 -> 0.0,kPa,,,19:21.2,->,0,,00:02.5,00:02.5
14:19:21.274 -> -1.9,kPa,,,19:21.3,->,-1.9,,00:02.6,00:02.6
14:19:21.417 -> 0.0,kPa,,,19:21.4,->,0,,00:02.7,00:02.7
14:19:21.511 -> 0.0,kPa,,,19:21.5,->,0,,00:02.8,00:02.8
14:19:21.605 -> -1.9,kPa,,,19:21.6,->,-1.9,,00:02.9,00:02.9
14:19:21.702 -> 0.0,kPa,,,19:21.7,->,0,,00:03.0,00:03.0
14:19:21.782 -> -1.9,kPa,,,19:21.8,->,-1.9,,00:03.1,00:03.1
14:19:21.912 -> 0.0,kPa,,,19:21.9,->,0,,00:03.2,00:03.2
14:19:22.007 -> -1.9,kPa,,,19:22.0,->,-1.9,,00:03.3,00:03.3
14:19:22.102 -> -1.9,kPa,,,19:22.1,->,-1.9,,00:03.4,00:03.4
14:19:22.198 -> -1.9,kPa,,,19:22.2,->,-1.9,,00:03.5,00:03.5
14:19:22.293 -> 0.0,kPa,,,19:22.3,->,0,,00:03.6,00:03.6
14:19:22.387 -> -1.9,kPa,,,19:22.4,->,-1.9,,00:03.7,00:03.7
14:19:24.112 -> 0.0,kPa,,,19:24.1,->,0,,00:03.8,00:03.8
14:19:24.208 -> 0.0,kPa,,,19:24.2,->,0,,00:03.9,00:03.9
14:19:24.494 -> 0.0,kPa,,,19:24.5,->,0,,00:04.0,00:04.0
14:19:24.638 -> -1.9,kPa,,,19:24.6,->,-1.9,,00:04.1,00:04.1
14:19:24.713 -> 0.0,kPa,,,19:24.7,->,0,,00:04.2,00:04.2
14:19:24.844 -> -1.9,kPa,,,19:24.8,->,-1.9,,00:04.3,00:04.3
14:19:24.939 -> 0.0,kPa,,,19:24.9,->,0,,00:04.4,00:04.4
14:19:25.032 -> -1.9,kPa,,,19:25.0,->,-1.9,,00:04.5,00:04.5
14:19:25.127 -> -1.9,kPa,,,19:25.1,->,-1.9,,00:04.6,00:04.6
14:19:25.207 -> -1.9,kPa,,,19:25.2,->,-1.9,,00:04.7,00:04.7
14:19:25.307 -> 0.0,kPa,,,19:25.3,->,0,,00:04.8,00:04.8
14:19:25.412 -> 0.0,kPa,,,19:25.4,->,0,,00:04.9,00:04.9
14:19:25.506 -> 0.0,kPa,,,19:25.5,->,0,,00:05.0,00:05.0
14:19:25.601 -> -1.9,kPa,,,19:25.6,->,-1.9,,00:05.1,00:05.1
14:19:25.743 -> -1.9,kPa,,,19:25.7,->,-1.9,,00:05.2,00:05.2
14:19:25.838 -> 0.0,kPa,,,19:25.8,->,0,,00:05.3,00:05.3
14:19:25.932 -> -1.9,kPa,,,19:25.9,->,-1.9,,00:05.4,00:05.4
14:19:26.027 -> -1.9,kPa,,,19:26.0,->,-1.9,,00:05.5,00:05.5
14:19:26.121 -> 0.0,kPa,,,19:26.1,->,0,,00:05.6,00:05.6
14:19:26.247 -> -1.9,kPa,,,19:26.2,->,-1.9,,00:05.7,00:05.7
14:19:26.342 -> -1.9,kPa,,,19:26.3,->,-1.9,,00:05.8,00:05.8
14:19:26.420 -> 0.0,kPa,,,19:26.4,->,0,,00:05.9,00:05.9
14:19:26.545 -> -1.9,kPa,,,19:26.5,->,-1.9,,00:06.0,00:06.0
14:19:26.640 -> 0.0,kPa,,,19:26.6,->,0,,00:06.1,00:06.1
14:19:26.734 -> 37.1,kPa,,,19:26.7,->,37.1,,00:06.2,00:06.2
14:19:26.829 -> 78.2,kPa,,,19:26.8,->,78.2,,00:06.3,00:06.3
14:19:26.924 -> 101.6,kPa,,,19:26.9,->,101.6,,00:06.4,00:06.4
14:19:27.018 -> 99.6,kPa,,,19:27.0,->,99.6,,00:06.5,00:06.5
14:19:27.112 -> 101.6,kPa,,,19:27.1,->,101.6,,00:06.6,00:06.6
14:19:27.255 -> 99.6,kPa,,,19:27.3,->,99.6,,00:06.7,00:06.7
14:19:27.319 -> 97.7,kPa,,,19:27.3,->,97.7,,00:06.8,00:06.8
14:19:27.414 -> 97.7,kPa,,,19:27.4,->,97.7,,00:06.9,00:06.9
