TimeStamp,Unit,,,TimeStamp,,Values_N,,TimeStamp,TimeStamp_N
14:19:51.044 -> 93.8,kPa,,,19:51.0,->,93.8,,00:30.4,00:30.4
14:19:51.140 -> 95.7,kPa,,,19:51.1,->,95.7,,00:30.5,00:30.5
14:19:51.283 -> 97.7,kPa,,,19:51.3,->,97.7,,00:30.6,00:30.6
14:19:51.346 -> 95.7,kPa,,,19:51.3,->,95.7,,00:30.7,00:30.7
14:19:51.442 -> 95.7,kPa,,,19:51.4,->,95.7,,00:30.8,00:30.8
14:19:51.583 -> 95.7,kPa,,,19:51.6,->,95.7,,00:30.9,00:30.9
14:19:51.678 -> 93.8,kPa,,,19:51.7,->,93.8,,00:31.0,00:31.0
14:19:51.772 -> 93.8,kPa,,,19:51.8,->,93.8,,00:31.1,00:31.1
14:19:51.867 -> 89.9,kPa,,,19:51.9,->,89.9,,00:31.2,00:31.2
14:19:51.962 -> 91.8,kPa,,,19:52.0,->,91.8,,00:31.3,00:31.3
14:19:52.043 -> 93.8,kPa,,,19:52.0,->,93.8,,00:31.4,00:31.4
14:19:52.156 -> 95.7,kPa,,,19:52.2,->,95.7,,00:31.5,00:31.5
14:19:52.252 -> 97.7,kPa,,,19:52.3,->,97.7,,00:31.6,00:31.6
14:19:52.394 -> 97.7,kPa,,,19:52.4,->,97.7,,00:31.7,00:31.7
14:19:52.490 -> 97.7,kPa,,,19:52.5,->,97.7,,00:31.8,00:31.8
14:19:52.584 -> 97.7,kPa,,,19:52.6,->,97.7,,00:31.9,00:31.9
14:19:52.693 -> 97.7,kPa,,,19:52.7,->,97.7,,00:32.0,00:32.0
14:19:52.787 -> 97.7,kPa,,,19:52.8,->,97.7,,00:32.1,00:32.1
14:19:52.882 -> 95.7,kPa,,,19:52.9,->,95.7,,00:32.2,00:32.2
14:19:52.977 -> 93.8,kPa,,,19:53.0,->,93.8,,00:32.3,00:32.3
14:19:53.072 -> 91.8,kPa,,,19:53.1,->,91.8,,00:32.4,00:32.4
14:19:53.166 -> 91.8,kPa,,,19:53.2,->,91.8,,00:32.5,00:32.5
14:19:53.294 -> 89.9,kPa,,,19:53.3,->,89.9,,00:32.6,00:32.6
14:19:53.389 -> 87.9,kPa,,,19:53.4,->,87.9,,00:32.7,00:32.7
14:19:53.485 -> 84.0,kPa,,,19:53.5,->,84,,00:32.8,00:32.8
14:19:53.581 -> 84.0,kPa,,,19:53.6,->,84,,00:32.9,00:32.9
14:19:53.675 -> 84.0,kPa,,,19:53.7,->,84,,00:33.0,00:33.0
14:19:53.770 -> 87.9,kPa,,,19:53.8,->,87.9,,00:33.1,00:33.1
14:19:53.866 -> 91.8,kPa,,,19:53.9,->,91.8,,00:33.2,00:33.2
14:19:53.960 -> 89.9,kPa,,,19:54.0,->,89.9,,00:33.3,00:33.3
14:19:54.103 -> 86.0,kPa,,,19:54.1,->,86,,00:33.4,00:33.4
14:19:54.197 -> 80.1,kPa,,,19:54.2,->,80.1,,00:33.5,00:33.5
14:19:54.291 -> 78.2,kPa,,,19:54.3,->,78.2,,00:33.6,00:33.6
14:19:54.390 -> 82.1,kPa,,,19:54.4,->,82.1,,00:33.7,00:33.7
14:19:54.482 -> 87.9,kPa,,,19:54.5,->,87.9,,00:33.8,00:33.8
14:19:54.577 -> 89.9,kPa,,,19:54.6,->,89.9,,00:33.9,00:33.9
14:19:54.678 -> 86.0,kPa,,,19:54.7,->,86,,00:34.0,00:34.0
14:19:54.765 -> 84.0,kPa,,,19:54.8,->,84,,00:34.1,00:34.1
14:19:54.907 -> 86.0,kPa,,,19:54.9,->,86,,00:34.2,00:34.2
14:19:55.001 -> 91.8,kPa,,,19:55.0,->,91.8,,00:34.3,00:34.3
14:19:55.096 -> 93.8,kPa,,,19:55.1,->,93.8,,00:34.4,00:34.4
14:19:55.189 -> 93.8,kPa,,,19:55.2,->,93.8,,00:34.5,00:34.5
14:19:55.284 -> 95.7,kPa,,,19:55.3,->,95.7,,00:34.6,00:34.6
14:19:55.379 -> 95.7,kPa,,,19:55.4,->,95.7,,00:34.7,00:34.7
14:19:55.475 -> 97.7,kPa,,,19:55.5,->,97.7,,00:34.8,00:34.8
14:19:55.602 -> 99.6,kPa,,,19:55.6,->,99.6,,00:34.9,00:34.9
14:19:55.699 -> 99.6,kPa,,,19:55.7,->,99.6,,00:35.0,00:35.0
14:19:55.792 -> 97.7,kPa,,,19:55.8,->,97.7,,00:35.1,00:35.1
14:19:55.887 -> 97.7,kPa,,,19:55.9,->,97.7,,00:35.2,00:35.2
14:19:56.003 -> 97.7,kPa,,,19:56.0,->,97.7,,00:35.3,00:35.3
14:19:56.091 -> 95.7,kPa,,,19:56.1,->,95.7,,00:35.4,00:35.4
14:19:56.190 -> 95.7,kPa,,,19:56.2,->,95.7,,00:35.5,00:35.5
14:19:56.286 -> 91.8,kPa,,,19:56.3,->,91.8,,00:35.6,00:35.6
14:19:56.391 -> 89.9,kPa,,,19:56.4,->,89.9,,00:35.7,00:35.7
14:19:56.486 -> 89.9,kPa,,,19:56.5,->,89.9,,00:35.8,00:35.8
14:19:56.581 -> 87.9,kPa,,,19:56.6,->,87.9,,00:35.9,00:35.9
14:19:56.675 -> 84.0,kPa,,,19:56.7,->,84,,00:36.0,00:36.0
14:19:56.775 -> 80.1,kPa,,,19:56.8,->,80.1,,00:36.1,00:36.1
14:19:56.912 -> 76.2,kPa,,,19:56.9,->,76.2,,00:36.2,00:36.2
14:19:57.006 -> 72.3,kPa,,,19:57.0,->,72.3,,00:36.3,00:36.3
14:19:57.101 -> 76.2,kPa,,,19:57.1,->,76.2,,00:36.4,00:36.4
14:19:57.196 -> 82.1,kPa,,,19:57.2,->,82.1,,00:36.5,00:36.5
14:19:57.292 -> 84.0,kPa,,,19:57.3,->,84,,00:36.6,00:36.6
14:19:57.391 -> 89.9,kPa,,,19:57.4,->,89.9,,00:36.7,00:36.7
14:19:57.497 -> 91.8,kPa,,,19:57.5,->,91.8,,00:36.8,00:36.8
14:19:57.592 -> 91.8,kPa,,,19:57.6,->,91.8,,00:36.9,00:36.9
14:19:57.686 -> 93.8,kPa,,,19:57.7,->,93.8,,00:37.0,00:37.0
14:19:57.782 -> 89.9,kPa,,,19:57.8,->,89.9,,00:37.1,00:37.1
14:19:57.891 -> 86.0,kPa,,,19:57.9,->,86,,00:37.2,00:37.2
14:19:57.986 -> 86.0,kPa,,,19:58.0,->,86,,00:37.3,00:37.3
14:19:58.081 -> 87.9,kPa,,,19:58.1,->,87.9,,00:37.4,00:37.4
14:19:58.223 -> 89.9,kPa,,,19:58.2,->,89.9,,00:37.5,00:37.5
14:19:58.318 -> 89.9,kPa,,,19:58.3,->,89.9,,00:37.6,00:37.6
14:19:58.413 -> 89.9,kPa,,,19:58.4,->,89.9,,00:37.7,00:37.7
14:19:58.509 -> 89.9,kPa,,,19:58.5,->,89.9,,00:37.8,00:37.8
14:19:58.603 -> 89.9,kPa,,,19:58.6,->,89.9,,00:37.9,00:37.9
14:19:58.697 -> 87.9,kPa,,,19:58.7,->,87.9,,00:38.0,00:38.0
14:19:58.791 -> 84.0,kPa,,,19:58.8,->,84,,00:38.1,00:38.1
14:19:58.887 -> 84.0,kPa,,,19:58.9,->,84,,00:38.2,00:38.2
14:19:58.981 -> 84.0,kPa,,,19:59.0,->,84,,00:38.3,00:38.3
14:19:59.094 -> 80.1,kPa,,,19:59.1,->,80.1,,00:38.4,00:38.4
14:19:59.186 -> 78.2,kPa,,,19:59.2,->,78.2,,00:38.5,00:38.5
14:19:59.329 -> 74.3,kPa,,,19:59.3,->,74.3,,00:38.6,00:38.6
14:19:59.424 -> 70.3,kPa,,,19:59.4,->,70.3,,00:38.7,00:38.7
14:19:59.519 -> 68.4,kPa,,,19:59.5,->,68.4,,00:38.8,00:38.8
14:19:59.614 -> 68.4,kPa,,,19:59.6,->,68.4,,00:38.9,00:38.9
14:19:59.708 -> 62.5,kPa,,,19:59.7,->,62.5,,00:39.0,00:39.0
14:19:59.818 -> 60.6,kPa,,,19:59.8,->,60.6,,00:39.1,00:39.1
14:19:59.915 -> 60.6,kPa,,,19:59.9,->,60.6,,00:39.2,00:39.2
14:20:00.009 -> 64.5,kPa,,,20:00.0,->,64.5,,00:39.3,00:39.3
14:20:00.104 -> 70.3,kPa,,,20:00.1,->,70.3,,00:39.4,00:39.4
14:20:00.199 -> 70.3,kPa,,,20:00.2,->,70.3,,00:39.5,00:39.5
14:20:00.294 -> 68.4,kPa,,,20:00.3,->,68.4,,00:39.6,00:39.6
14:20:00.436 -> 72.3,kPa,,,20:00.4,->,72.3,,00:39.7,00:39.7
14:20:00.531 -> 80.1,kPa,,,20:00.5,->,80.1,,00:39.8,00:39.8
14:20:00.627 -> 89.9,kPa,,,20:00.6,->,89.9,,00:39.9,00:39.9
14:20:00.706 -> 91.8,kPa,,,20:00.7,->,91.8,,00:40.0,00:40.0
14:20:00.802 -> 95.7,kPa,,,20:00.8,->,95.7,,00:40.1,00:40.1
14:20:00.901 -> 95.7,kPa,,,20:00.9,->,95.7,,00:40.2,00:40.2
14:20:01.039 -> 93.8,kPa,,,20:01.0,->,93.8,,00:40.3,00:40.3
14:20:01.134 -> 91.8,kPa,,,20:01.1,->,91.8,,00:40.4,00:40.4
14:20:01.229 -> 93.8,kPa,,,20:01.2,->,93.8,,00:40.5,00:40.5
14:20:01.323 -> 93.8,kPa,,,20:01.3,->,93.8,,00:40.6,00:40.6
14:20:01.418 -> 89.9,kPa,,,20:01.4,->,89.9,,00:40.7,00:40.7
14:20:01.512 -> 84.0,kPa,,,20:01.5,->,84,,00:40.8,00:40.8
14:20:01.620 -> 80.1,kPa,,,20:01.6,->,80.1,,00:40.9,00:40.9
14:20:01.722 -> 74.3,kPa,,,20:01.7,->,74.3,,00:41.0,00:41.0
14:20:01.812 -> 72.3,kPa,,,20:01.8,->,72.3,,00:41.1,00:41.1
14:20:01.907 -> 72.3,kPa,,,20:01.9,->,72.3,,00:41.2,00:41.2
14:20:02.002 -> 78.2,kPa,,,20:02.0,->,78.2,,00:41.3,00:41.3
14:20:02.144 -> 80.1,kPa,,,20:02.1,->,80.1,,00:41.4,00:41.4
14:20:02.239 -> 82.1,kPa,,,20:02.2,->,82.1,,00:41.5,00:41.5
14:20:02.334 -> 87.9,kPa,,,20:02.3,->,87.9,,00:41.6,00:41.6
14:20:02.428 -> 93.8,kPa,,,20:02.4,->,93.8,,00:41.7,00:41.7
14:20:02.508 -> 95.7,kPa,,,20:02.5,->,95.7,,00:41.8,00:41.8
14:20:02.650 -> 97.7,kPa,,,20:02.7,->,97.7,,00:41.9,00:41.9
14:20:02.745 -> 97.7,kPa,,,20:02.7,->,97.7,,00:42.0,00:42.0
14:20:02.840 -> 97.7,kPa,,,20:02.8,->,97.7,,00:42.1,00:42.1
14:20:02.935 -> 97.7,kPa,,,20:02.9,->,97.7,,00:42.2,00:42.2
14:20:03.030 -> 91.8,kPa,,,20:03.0,->,91.8,,00:42.3,00:42.3
14:20:03.124 -> 95.7,kPa,,,20:03.1,->,95.7,,00:42.4,00:42.4
14:20:03.219 -> 95.7,kPa,,,20:03.2,->,95.7,,00:42.5,00:42.5
14:20:03.315 -> 95.7,kPa,,,20:03.3,->,95.7,,00:42.6,00:42.6
14:20:03.457 -> 97.7,kPa,,,20:03.5,->,97.7,,00:42.7,00:42.7
14:20:03.555 -> 97.7,kPa,,,20:03.6,->,97.7,,00:42.8,00:42.8
14:20:03.647 -> 97.7,kPa,,,20:03.6,->,97.7,,00:42.9,00:42.9
14:20:03.742 -> 99.6,kPa,,,20:03.7,->,99.6,,00:43.0,00:43.0
14:20:03.837 -> 99.6,kPa,,,20:03.8,->,99.6,,00:43.1,00:43.1
14:20:03.933 -> 97.7,kPa,,,20:03.9,->,97.7,,00:43.2,00:43.2
14:20:04.028 -> 95.7,kPa,,,20:04.0,->,95.7,,00:43.3,00:43.3
14:20:04.122 -> 95.7,kPa,,,20:04.1,->,95.7,,00:43.4,00:43.4
14:20:04.216 -> 97.7,kPa,,,20:04.2,->,97.7,,00:43.5,00:43.5
14:20:04.358 -> 97.7,kPa,,,20:04.4,->,97.7,,00:43.6,00:43.6
14:20:04.438 -> 97.7,kPa,,,20:04.4,->,97.7,,00:43.7,00:43.7
14:20:04.533 -> 97.7,kPa,,,20:04.5,->,97.7,,00:43.8,00:43.8
14:20:04.628 -> 95.7,kPa,,,20:04.6,->,95.7,,00:43.9,00:43.9
14:20:04.722 -> 95.7,kPa,,,20:04.7,->,95.7,,00:44.0,00:44.0
14:20:04.818 -> 95.7,kPa,,,20:04.8,->,95.7,,00:44.1,00:44.1
14:20:04.960 -> 95.7,kPa,,,20:05.0,->,95.7,,00:44.2,00:44.2
14:20:05.055 -> 95.7,kPa,,,20:05.1,->,95.7,,00:44.3,00:44.3
14:20:05.149 -> 87.9,kPa,,,20:05.1,->,87.9,,00:44.4,00:44.4
14:20:05.259 -> 84.0,kPa,,,20:05.3,->,84,,00:44.5,00:44.5
14:20:05.338 -> 84.0,kPa,,,20:05.3,->,84,,00:44.6,00:44.6
14:20:05.425 -> 82.1,kPa,,,20:05.4,->,82.1,,00:44.7,00:44.7
14:20:05.561 -> 80.1,kPa,,,20:05.6,->,80.1,,00:44.8,00:44.8
14:20:05.655 -> 78.2,kPa,,,20:05.7,->,78.2,,00:44.9,00:44.9
14:20:05.753 -> 78.2,kPa,,,20:05.8,->,78.2,,00:45.0,00:45.0
14:20:05.867 -> 84.0,kPa,,,20:05.9,->,84,,00:45.1,00:45.1
14:20:05.957 -> 87.9,kPa,,,20:06.0,->,87.9,,00:45.2,00:45.2
14:20:06.051 -> 93.8,kPa,,,20:06.1,->,93.8,,00:45.3,00:45.3
14:20:06.146 -> 93.8,kPa,,,20:06.1,->,93.8,,00:45.4,00:45.4
14:20:06.241 -> 86.0,kPa,,,20:06.2,->,86,,00:45.5,00:45.5
14:20:06.368 -> 86.0,kPa,,,20:06.4,->,86,,00:45.6,00:45.6
14:20:06.463 -> 87.9,kPa,,,20:06.5,->,87.9,,00:45.7,00:45.7
14:20:06.562 -> 91.8,kPa,,,20:06.6,->,91.8,,00:45.8,00:45.8
14:20:06.653 -> 91.8,kPa,,,20:06.7,->,91.8,,00:45.9,00:45.9
14:20:06.733 -> 93.8,kPa,,,20:06.7,->,93.8,,00:46.0,00:46.0
14:20:06.835 -> 93.8,kPa,,,20:06.8,->,93.8,,00:46.1,00:46.1
14:20:06.955 -> 95.7,kPa,,,20:07.0,->,95.7,,00:46.2,00:46.2
14:20:07.049 -> 97.7,kPa,,,20:07.0,->,97.7,,00:46.3,00:46.3
14:20:07.143 -> 95.7,kPa,,,20:07.1,->,95.7,,00:46.4,00:46.4
14:20:07.245 -> 97.7,kPa,,,20:07.2,->,97.7,,00:46.5,00:46.5
14:20:07.336 -> 95.7,kPa,,,20:07.3,->,95.7,,00:46.6,00:46.6
14:20:07.476 -> 97.7,kPa,,,20:07.5,->,97.7,,00:46.7,00:46.7
14:20:07.577 -> 99.6,kPa,,,20:07.6,->,99.6,,00:46.8,00:46.8
14:20:07.636 -> 99.6,kPa,,,20:07.6,->,99.6,,00:46.9,00:46.9
14:20:07.763 -> 99.6,kPa,,,20:07.8,->,99.6,,00:47.0,00:47.0
14:20:07.873 -> 99.6,kPa,,,20:07.9,->,99.6,,00:47.1,00:47.1
14:20:07.968 -> 99.6,kPa,,,20:08.0,->,99.6,,00:47.2,00:47.2
14:20:08.064 -> 99.6,kPa,,,20:08.1,->,99.6,,00:47.3,00:47.3
14:20:08.160 -> 97.7,kPa,,,20:08.2,->,97.7,,00:47.4,00:47.4
14:20:08.247 -> 97.7,kPa,,,20:08.2,->,97.7,,00:47.5,00:47.5
14:20:08.382 -> 95.7,kPa,,,20:08.4,->,95.7,,00:47.6,00:47.6
14:20:08.445 -> 93.8,kPa,,,20:08.4,->,93.8,,00:47.7,00:47.7
14:20:08.539 -> 93.8,kPa,,,20:08.5,->,93.8,,00:47.8,00:47.8
14:20:08.681 -> 89.9,kPa,,,20:08.7,->,89.9,,00:47.9,00:47.9
14:20:08.777 -> 89.9,kPa,,,20:08.8,->,89.9,,00:48.0,00:48.0
14:20:08.840 -> 86.0,kPa,,,20:08.8,->,86,,00:48.1,00:48.1
14:20:08.982 -> 86.0,kPa,,,20:09.0,->,86,,00:48.2,00:48.2
14:20:09.077 -> 89.9,kPa,,,20:09.1,->,89.9,,00:48.3,00:48.3
14:20:09.172 -> 93.8,kPa,,,20:09.2,->,93.8,,00:48.4,00:48.4
14:20:09.267 -> 89.9,kPa,,,20:09.3,->,89.9,,00:48.5,00:48.5
14:20:09.362 -> 84.0,kPa,,,20:09.4,->,84,,00:48.6,00:48.6
14:20:09.458 -> 76.2,kPa,,,20:09.5,->,76.2,,00:48.7,00:48.7
14:20:09.550 -> 72.3,kPa,,,20:09.6,->,72.3,,00:48.8,00:48.8
14:20:09.644 -> 72.3,kPa,,,20:09.6,->,72.3,,00:48.9,00:48.9
14:20:09.787 -> 78.2,kPa,,,20:09.8,->,78.2,,00:49.0,00:49.0
14:20:09.882 -> 76.2,kPa,,,20:09.9,->,76.2,,00:49.1,00:49.1
14:20:09.976 -> 74.3,kPa,,,20:10.0,->,74.3,,00:49.2,00:49.2
14:20:10.071 -> 72.3,kPa,,,20:10.1,->,72.3,,00:49.3,00:49.3
14:20:10.165 -> 70.3,kPa,,,20:10.2,->,70.3,,00:49.4,00:49.4
14:20:10.260 -> 70.3,kPa,,,20:10.3,->,70.3,,00:49.5,00:49.5
14:20:10.372 -> 74.3,kPa,,,20:10.4,->,74.3,,00:49.6,00:49.6
14:20:10.470 -> 82.1,kPa,,,20:10.5,->,82.1,,00:49.7,00:49.7
14:20:10.562 -> 87.9,kPa,,,20:10.6,->,87.9,,00:49.8,00:49.8
14:20:10.656 -> 91.8,kPa,,,20:10.7,->,91.8,,00:49.9,00:49.9
14:20:10.783 -> 87.9,kPa,,,20:10.8,->,87.9,,00:50.0,00:50.0
14:20:10.855 -> 84.0,kPa,,,20:10.9,->,84,,00:50.1,00:50.1
14:20:10.990 -> 82.1,kPa,,,20:11.0,->,82.1,,00:50.2,00:50.2
14:20:11.083 -> 80.1,kPa,,,20:11.1,->,80.1,,00:50.3,00:50.3
14:20:11.178 -> 80.1,kPa,,,20:11.2,->,80.1,,00:50.4,00:50.4
14:20:11.273 -> 82.1,kPa,,,20:11.3,->,82.1,,00:50.5,00:50.5
14:20:11.367 -> 84.0,kPa,,,20:11.4,->,84,,00:50.6,00:50.6
14:20:11.462 -> 87.9,kPa,,,20:11.5,->,87.9,,00:50.7,00:50.7
14:20:11.561 -> 93.8,kPa,,,20:11.6,->,93.8,,00:50.8,00:50.8
14:20:11.686 -> 93.8,kPa,,,20:11.7,->,93.8,,00:50.9,00:50.9
14:20:11.781 -> 93.8,kPa,,,20:11.8,->,93.8,,00:51.0,00:51.0
14:20:11.875 -> 93.8,kPa,,,20:11.9,->,93.8,,00:51.1,00:51.1
14:20:11.970 -> 89.9,kPa,,,20:12.0,->,89.9,,00:51.2,00:51.2
14:20:12.066 -> 86.0,kPa,,,20:12.1,->,86,,00:51.3,00:51.3
14:20:12.209 -> 82.1,kPa,,,20:12.2,->,82.1,,00:51.4,00:51.4
14:20:12.290 -> 76.2,kPa,,,20:12.3,->,76.2,,00:51.5,00:51.5
14:20:12.384 -> 70.3,kPa,,,20:12.4,->,70.3,,00:51.6,00:51.6
14:20:12.495 -> 68.4,kPa,,,20:12.5,->,68.4,,00:51.7,00:51.7
14:20:12.590 -> 72.3,kPa,,,20:12.6,->,72.3,,00:51.8,00:51.8
14:20:12.670 -> 72.3,kPa,,,20:12.7,->,72.3,,00:51.9,00:51.9
14:20:12.766 -> 74.3,kPa,,,20:12.8,->,74.3,,00:52.0,00:52.0
14:20:12.892 -> 78.2,kPa,,,20:12.9,->,78.2,,00:52.1,00:52.1
14:20:12.987 -> 80.1,kPa,,,20:13.0,->,80.1,,00:52.2,00:52.2
14:20:13.067 -> 80.1,kPa,,,20:13.1,->,80.1,,00:52.3,00:52.3
14:20:13.179 -> 78.2,kPa,,,20:13.2,->,78.2,,00:52.4,00:52.4
14:20:13.260 -> 74.3,kPa,,,20:13.3,->,74.3,,00:52.5,00:52.5
14:20:13.402 -> 70.3,kPa,,,20:13.4,->,70.3,,00:52.6,00:52.6
14:20:13.497 -> 66.4,kPa,,,20:13.5,->,66.4,,00:52.7,00:52.7
14:20:13.579 -> 64.5,kPa,,,20:13.6,->,64.5,,00:52.8,00:52.8
14:20:13.674 -> 68.4,kPa,,,20:13.7,->,68.4,,00:52.9,00:52.9
14:20:13.802 -> 72.3,kPa,,,20:13.8,->,72.3,,00:53.0,00:53.0
14:20:13.897 -> 76.2,kPa,,,20:13.9,->,76.2,,00:53.1,00:53.1
14:20:14.007 -> 86.0,kPa,,,20:14.0,->,86,,00:53.2,00:53.2
14:20:14.086 -> 91.8,kPa,,,20:14.1,->,91.8,,00:53.3,00:53.3
14:20:14.215 -> 95.7,kPa,,,20:14.2,->,95.7,,00:53.4,00:53.4
14:20:14.311 -> 95.7,kPa,,,20:14.3,->,95.7,,00:53.5,00:53.5
14:20:14.406 -> 95.7,kPa,,,20:14.4,->,95.7,,00:53.6,00:53.6
14:20:14.501 -> 91.8,kPa,,,20:14.5,->,91.8,,00:53.7,00:53.7
14:20:14.581 -> 89.9,kPa,,,20:14.6,->,89.9,,00:53.8,00:53.8
14:20:14.676 -> 89.9,kPa,,,20:14.7,->,89.9,,00:53.9,00:53.9
14:20:14.803 -> 86.0,kPa,,,20:14.8,->,86,,00:54.0,00:54.0
14:20:14.897 -> 86.0,kPa,,,20:14.9,->,86,,00:54.1,00:54.1
14:20:14.993 -> 82.1,kPa,,,20:15.0,->,82.1,,00:54.2,00:54.2
14:20:15.089 -> 78.2,kPa,,,20:15.1,->,78.2,,00:54.3,00:54.3
14:20:15.189 -> 78.2,kPa,,,20:15.2,->,78.2,,00:54.4,00:54.4
14:20:15.278 -> 76.2,kPa,,,20:15.3,->,76.2,,00:54.5,00:54.5
14:20:15.437 -> 80.1,kPa,,,20:15.4,->,80.1,,00:54.6,00:54.6
14:20:15.485 -> 86.0,kPa,,,20:15.5,->,86,,00:54.7,00:54.7
14:20:15.580 -> 93.8,kPa,,,20:15.6,->,93.8,,00:54.8,00:54.8
14:20:15.721 -> 95.7,kPa,,,20:15.7,->,95.7,,00:54.9,00:54.9
14:20:15.801 -> 93.8,kPa,,,20:15.8,->,93.8,,00:55.0,00:55.0
14:20:15.897 -> 95.7,kPa,,,20:15.9,->,95.7,,00:55.1,00:55.1
14:20:15.976 -> 95.7,kPa,,,20:16.0,->,95.7,,00:55.2,00:55.2
14:20:16.119 -> 93.8,kPa,,,20:16.1,->,93.8,,00:55.3,00:55.3
14:20:16.215 -> 91.8,kPa,,,20:16.2,->,91.8,,00:55.4,00:55.4
14:20:16.296 -> 91.8,kPa,,,20:16.3,->,91.8,,00:55.5,00:55.5
14:20:16.389 -> 95.7,kPa,,,20:16.4,->,95.7,,00:55.6,00:55.6
14:20:16.484 -> 95.7,kPa,,,20:16.5,->,95.7,,00:55.7,00:55.7
14:20:16.613 -> 95.7,kPa,,,20:16.6,->,95.7,,00:55.8,00:55.8
14:20:16.707 -> 95.7,kPa,,,20:16.7,->,95.7,,00:55.9,00:55.9
14:20:16.802 -> 97.7,kPa,,,20:16.8,->,97.7,,00:56.0,00:56.0
14:20:16.897 -> 97.7,kPa,,,20:16.9,->,97.7,,00:56.1,00:56.1
14:20:17.009 -> 97.7,kPa,,,20:17.0,->,97.7,,00:56.2,00:56.2
14:20:17.105 -> 93.8,kPa,,,20:17.1,->,93.8,,00:56.3,00:56.3
14:20:17.199 -> 87.9,kPa,,,20:17.2,->,87.9,,00:56.4,00:56.4
14:20:17.295 -> 87.9,kPa,,,20:17.3,->,87.9,,00:56.5,00:56.5
14:20:17.389 -> 89.9,kPa,,,20:17.4,->,89.9,,00:56.6,00:56.6
14:20:17.532 -> 89.9,kPa,,,20:17.5,->,89.9,,00:56.7,00:56.7
14:20:17.627 -> 87.9,kPa,,,20:17.6,->,87.9,,00:56.8,00:56.8
14:20:17.722 -> 84.0,kPa,,,20:17.7,->,84,,00:56.9,00:56.9
14:20:17.818 -> 80.1,kPa,,,20:17.8,->,80.1,,00:57.0,00:57.0
14:20:17.912 -> 76.2,kPa,,,20:17.9,->,76.2,,00:57.1,00:57.1
14:20:18.008 -> 76.2,kPa,,,20:18.0,->,76.2,,00:57.2,00:57.2
14:20:18.102 -> 80.1,kPa,,,20:18.1,->,80.1,,00:57.3,00:57.3
14:20:18.197 -> 78.2,kPa,,,20:18.2,->,78.2,,00:57.4,00:57.4
14:20:18.340 -> 80.1,kPa,,,20:18.3,->,80.1,,00:57.5,00:57.5
14:20:18.434 -> 82.1,kPa,,,20:18.4,->,82.1,,00:57.6,00:57.6
14:20:18.529 -> 86.0,kPa,,,20:18.5,->,86,,00:57.7,00:57.7
14:20:18.623 -> 91.8,kPa,,,20:18.6,->,91.8,,00:57.8,00:57.8
14:20:18.718 -> 95.7,kPa,,,20:18.7,->,95.7,,00:57.9,00:57.9
14:20:18.812 -> 95.7,kPa,,,20:18.8,->,95.7,,00:58.0,00:58.0
14:20:18.908 -> 93.8,kPa,,,20:18.9,->,93.8,,00:58.1,00:58.1
14:20:19.003 -> 93.8,kPa,,,20:19.0,->,93.8,,00:58.2,00:58.2
14:20:19.144 -> 93.8,kPa,,,20:19.1,->,93.8,,00:58.3,00:58.3
14:20:19.207 -> 95.7,kPa,,,20:19.2,->,95.7,,00:58.4,00:58.4
14:20:19.302 -> 95.7,kPa,,,20:19.3,->,95.7,,00:58.5,00:58.5
14:20:19.398 -> 95.7,kPa,,,20:19.4,->,95.7,,00:58.6,00:58.6
14:20:19.539 -> 97.7,kPa,,,20:19.5,->,97.7,,00:58.7,00:58.7
14:20:19.633 -> 97.7,kPa,,,20:19.6,->,97.7,,00:58.8,00:58.8
14:20:19.728 -> 97.7,kPa,,,20:19.7,->,97.7,,00:58.9,00:58.9
14:20:19.823 -> 97.7,kPa,,,20:19.8,->,97.7,,00:59.0,00:59.0
14:20:19.905 -> 91.8,kPa,,,20:19.9,->,91.8,,00:59.1,00:59.1
14:20:20.016 -> 86.0,kPa,,,20:20.0,->,86,,00:59.2,00:59.2
14:20:20.108 -> 78.2,kPa,,,20:20.1,->,78.2,,00:59.3,00:59.3
14:20:20.203 -> 74.3,kPa,,,20:20.2,->,74.3,,00:59.4,00:59.4
14:20:20.345 -> 70.3,kPa,,,20:20.3,->,70.3,,00:59.5,00:59.5
14:20:20.440 -> 72.3,kPa,,,20:20.4,->,72.3,,00:59.6,00:59.6
14:20:20.534 -> 82.1,kPa,,,20:20.5,->,82.1,,00:59.7,00:59.7
14:20:20.629 -> 84.0,kPa,,,20:20.6,->,84,,00:59.8,00:59.8
14:20:20.724 -> 82.1,kPa,,,20:20.7,->,82.1,,00:59.9,00:59.9
14:20:20.819 -> 80.1,kPa,,,20:20.8,->,80.1,,01:00.0,01:00.0
14:20:20.944 -> 80.1,kPa,,,20:20.9,->,80.1,,01:00.1,01:00.1
14:20:21.040 -> 87.9,kPa,,,20:21.0,->,87.9,,01:00.2,01:00.2
14:20:21.134 -> 91.8,kPa,,,20:21.1,->,91.8,,01:00.3,01:00.3
14:20:21.229 -> 91.8,kPa,,,20:21.2,->,91.8,,01:00.4,01:00.4
14:20:21.324 -> 89.9,kPa,,,20:21.3,->,89.9,,01:00.5,01:00.5
14:20:21.421 -> 91.8,kPa,,,20:21.4,->,91.8,,01:00.6,01:00.6
14:20:21.514 -> 91.8,kPa,,,20:21.5,->,91.8,,01:00.7,01:00.7
